flow_type,direction,business_meaning,dds_article_candidate,pnl_relation,source_bank,recognition_rule,include_in_revenue,include_in_operating_cashflow,quality_status,owner_question
revenue_acquiring_sber,inflow,"Основная банковская выручка: Sber merchant/acquiring settlement и подтвержденный канал приема платежей","Выручка эквайринг Sber; Выручка интернет-эквайринг Sber / StarterApp","Выручка с учетом скидок Черникова",sber,"bank=sber; direction=credit; text contains acquiring/merchant signature or owner-confirmed payment-acceptance contract signature; own-account reverse inflow excluded first",yes,yes,high_current_rules,"Нет блокирующего вопроса; поддерживать приватный whitelist допустимых Sber revenue signatures"
revenue_acquiring_tbank,inflow,"Небольшая, но реальная прямая выручка через собственный T-Bank эквайринг","Выручка эквайринг T-Bank","Выручка с учетом скидок Черникова",tbank,"bank=tbank; direction=credit; category=incomePeople; payer bank is T-Bank/acquiring processor; acquiring text/signals present; not Sber payer",yes,yes,medium_requires_owner_review,"Подтвердить устойчивую сигнатуру прямого T-Bank эквайринга и что это не внутренний перевод"
internal_transfer_sber_to_tbank,both,"Перенос денег между своими счетами по цепочке Sber -> T-Bank; не выручка и не расход",not_applicable,not_applicable,"sber;tbank","Sber debit: receiver bank is T-Bank and receiver account/INN is own. T-Bank credit: category=incomePeople, payer bank is Sber, payer account/INN is own. Match through own_accounts_registry.",no,no,high_control_ok,"Подтвердить и поддерживать полный реестр собственных счетов; добавить новые счета до автоклассификации"
supplier_payment,outflow,"Оплаты поставщикам и подрядчикам с T-Bank","Оплата поставщикам; Оплаты систем автоматизации; Транспортные услуги; маркетинговые статьи; Поставщики / требуется разметка","Зависит от контрагента и статьи: может попадать в COGS/OPEX/P&L line",tbank,"bank=tbank; direction=debit; category=contragentOutcome; then private counterparty override or safe keyword article heuristic",no,yes,mixed_review_for_unmapped,"Для групп без override указать статью ДДС/ОПиУ и рабочее имя контрагента"
payroll_payment,outflow,"Переводы физлицам/ИП, предварительно выплаты персоналу","Расходы на персонал","Расходы на персонал",tbank,"bank=tbank; direction=debit; category=contragentPeople",no,yes,medium_requires_owner_review,"Подтвердить, какие переводы являются зарплатой, авансами, выплатами владельцу или прочими расчетами"
tax_payment,outflow,"Налоги, взносы и бюджетные платежи","Налоги с З/п","Налоги с ЗП",tbank,"direction=debit; category in tax/budget or text contains tax/contribution/NDFL-like signature",no,separate_tax_cashflow,medium_requires_owner_review,"Разделить налоги с зарплаты, прочие налоги, пени/штрафы и технические бюджетные платежи"
bank_fee,outflow,"Банковские комиссии, РКО, комиссии эквайринга","Прочие банковские комиссии; Эквайринг","Прочие банковские комиссии; Комиссия за эквайринг","sber;tbank","direction=debit; native category/code indicates fee or text contains commission/RKO; acquiring fee remapped to article Эквайринг when acquiring signature present",no,yes,high_for_fee_detection,"Проверить разнос комиссий эквайринга между Sber и T-Bank при финальной P&L-сверке"
loan_payment,both,"Кредиты/овердрафт: получение, погашение, проценты/комиссии","Кредиты / овердрафт","Комиссия за овердрафт only for interest/fee part","sber;tbank","category=incomeLoan or creditPaymentOuter or text contains credit/overdraft signature",no,no_financing,medium_requires_owner_review,"Разделить тело кредита, проценты, комиссии и прочие банковские списания"
refund,both,"Возвраты, пока без окончательного разделения клиентских и прочих возвратов","Возвраты клиентам","Возвраты клиентам (с минусом)",tbank,"category=refundIn or text contains refund signature",deduct_if_customer_refund,yes_when_customer_refund,medium_requires_owner_review,"Подтвердить, какие refundIn являются клиентскими возвратами и должны уменьшать управленческую выручку"
other_inflow,inflow,"Прочие поступления: depositFullWithdrawal, income, нерегламентированные T-Bank/Sber credits",not_applicable,not_applicable,"sber;tbank","Credit operation not matched to acquiring, internal transfer, loan or refund; includes depositFullWithdrawal review groups",no,no,low_requires_owner_review,"Определить экономический смысл каждой крупной группы прочих поступлений; отдельно разобрать depositFullWithdrawal"
other_outflow,outflow,"Прочие списания: бизнес-карта, selfTransferOuter, Sber debit outside confirmed transfer chain",not_applicable,not_applicable,"sber;tbank","Debit operation not matched to internal transfer, supplier, payroll, tax, fee or loan; T-Bank cardOperation/selfTransferOuter routed here",no,pending_review,low_requires_owner_review,"Разметить бизнес-карту, selfTransferOuter и Sber debit review groups по статьям ДДС"

