role,category,base_pay_rule,revenue_share_coefficient,allowance_rule,deposit_rule,accumulation_fund_rule,applies_to_shift_pay,applies_to_admin_pay,quality_status,comment
Администратор,2,"full 12h shift rate: 2200 RUB","7.5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 15000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Production shift administrator; separate from admin-office salary sheet"
Администратор,3,"full 12h shift rate: 2000 RUB","5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 10000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Production shift administrator"
Администратор,4,"full 12h shift rate: 1800 RUB","2.5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 7000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Production shift administrator"
Заготовщик,5,"full 12h shift rate: 2200 RUB","0 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 7000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Category has base shift pay but no revenue-share coefficient"
Пиццерист,1,"full 12h shift rate: 2600 RUB","10 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 20000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Highest category observed for this role"
Пиццерист,2,"full 12h shift rate: 2200 RUB","7.5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 15000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Current and historical category"
Пиццерист,3,"full 12h shift rate: 2000 RUB","5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 10000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_historical,"Historical category; not present in current staff snapshot"
Пиццерист,4,"no base shift rate found in Исходные данные L:N","2.5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 7000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund exists but cannot be calculated until base rate is confirmed",true,false,needs_owner_confirmation,"Historical category events exist, but rate table has no Пиццерист category 4 row"
Пиццерист,5,"full 12h shift rate: 2000 RUB","0 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 7000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_historical,"Category has base shift pay but no revenue-share coefficient"
Сушист,1,"full 12h shift rate: 2800 RUB","10 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 20000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Highest category observed for this role"
Сушист,2,"full 12h shift rate: 2400 RUB","7.5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 15000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Current and historical category"
Сушист,3,"full 12h shift rate: 2200 RUB","5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 10000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Current and historical category"
Сушист,4,"no base shift rate found in Исходные данные L:N","2.5 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 7000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund exists but cannot be calculated until base rate is confirmed",true,false,needs_owner_confirmation,"Historical category events exist, but rate table has no Сушист category 4 row"
Сушист,5,"full 12h shift rate: 2000 RUB","0 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 7000 RUB; standard withholding 1000 RUB; employee-specific override can replace required amount/withholding","tenure-based fund: 5% after 0.5 years, 10% after 1 year, 15% after 1.5 years; category affects it only through payable base",true,false,confirmed_current,"Category has base shift pay but no revenue-share coefficient"
Сушист,6,"full 12h shift rate: 0 RUB","0 coefficient points","+500 RUB Старший or +300 RUB Зам if active; +200 RUB extra-hour add-on on selected days; overtime coefficient x1.5 if marked","default required deposit 0 RUB; standard withholding 0 RUB","not payable from base rate while rate is 0",true,false,confirmed_current_placeholder,"Used for внештат placeholder rows; confirm whether this means temporary/non-staff"
