account_type,account_name,proposed_management_block,p_l_sign_logic,confidence,owner_question,comment
"INCOME","Торговая выручка без учета скидок","revenue","positive_sum_adds_to_gross_revenue; do_not_net_with_discounts_until_revenue_reconciliation","high","","Основная валовая выручка до скидок в iiko P&L; встречается по складу и в (Прочее)."
"INCOME","Торговая выручка","revenue","positive_sum_adds_to_revenue_after_owner_confirmation; keep_separate_from_gross_revenue_line","medium","Что означает отдельная строка `Торговая выручка` рядом с `Торговая выручка без учета скидок`: это дополнительная выручка, корректировка или техническая строка?","В snapshots это небольшая положительная строка; не смешивать с основной выручкой до расшифровки."
"INCOME","Предоставленные скидки","discounts","signed_contra_revenue; negative_sum_reduces_revenue; positive_sum_reverses_discounts","high","","Скидки в snapshots идут отрицательными значениями по складу и (Прочее)."
"COST_OF_GOODS_SOLD","Расход продуктов","food_cost","positive_sum_is_food_cost_expense; subtract_from_revenue; negative_sum_reverses_cost","high","","Основная строка food cost из iiko P&L; нулевые строки по отдельным складам не влияют на расчет."
"COST_OF_GOODS_SOLD","Оплата недорогих продуктов через фронт","food_cost","positive_sum_is_food_cost_like_expense; subtract_only_after_owner_confirmation; negative_sum_reverses_cost","medium","Подтвердить, что `Оплата недорогих продуктов через фронт` управленчески относится к food cost, а не к кассовой/технической операции.","Единичная строка в апрельском snapshot; классификация предварительная."
"COST_OF_GOODS_SOLD","Излишки инвентаризации","inventory_surplus_shortage","negative_sum_reduces_cogs_or_records_inventory_surplus; positive_sum_if_any_increases_cogs","high","","Инвентаризационный излишек в snapshots отрицательный, поэтому должен уменьшать себестоимость/потери, а не увеличивать расход."
"COST_OF_GOODS_SOLD","Недостача инвентаризации","inventory_surplus_shortage","positive_sum_increases_cogs_or_inventory_loss; negative_sum_if_any_reverses_shortage","high","","Инвентаризационная недостача в snapshots положительная и должна идти как расход/потеря."
"COST_OF_GOODS_SOLD","Удаление блюд со списанием","writeoffs","positive_sum_is_writeoff_expense; subtract_from_ebitda; negative_sum_reverses_writeoff","high","","Операционные списания блюд со списанием сырья."
"EXPENSES","Зарплата курьеров","couriers","positive_sum_is_courier_expense; subtract_from_ebitda; negative_sum_reverses_expense","medium","Подтверждаем ли строку iiko P&L `Зарплата курьеров` как факт курьерских расходов для управленческого P&L и какой это метод: начисление или выплата?","В docs/business-control/10-economic-block.md уже выделена как источник курьерских расходов, но метод учета нужно подтвердить."
"EXPENSES","Затраты на персонал","payroll","positive_sum_is_payroll_related_expense; subtract_from_ebitda; negative_sum_reverses_expense","medium","Что именно входит в iiko строку `Затраты на персонал` и как она соотносится с Google Sheets `Расчет зарплат NEW`?","Не подменяет основной ФОТ из payroll_monthly.csv без сверки состава."
"EXPENSES","Затраты на поиск сотрудников","payroll","positive_sum_is_personnel_hiring_expense; subtract_from_ebitda; negative_sum_reverses_expense","medium","Относить поиск сотрудников к payroll или к operating_expenses?","По структуре Google Sheets похожие статьи относились к ФОТ/персоналу, но для P&L нужен владелец."
"EXPENSES","Комиссия партнерам","partner_commissions","positive_sum_is_partner_commission_expense; subtract_from_ebitda; negative_sum_reverses_expense","high","Подтвердить состав партнеров/агрегаторов в строке `Комиссия партнерам`.","Отдельный блок для комиссий партнеров, чтобы не смешивать со скидками и маркетингом."
"OTHER_INCOME","Прочие доходы","other_income","positive_sum_adds_to_other_income; negative_sum_reduces_or_reverses_other_income","medium","Что входит в `Прочие доходы` и это операционный доход или ниже EBITDA?","Предварительно оставлено как other_income, но состав нужен для финального P&L."
"OTHER_EXPENSES","Актуализация","below_ebitda_or_unclear","signed_sum_not_mapped_to_ebitda_until_owner_confirmation; positive_sum_would_subtract; negative_sum_would_reverse_or_add_back","requiring_owner_confirmation","Что означает `Актуализация` в iiko P&L и должна ли она попадать в EBITDA?","Спорная строка; не использовать в операционном P&L до расшифровки владельцем."
"OTHER_EXPENSES","Всякое Гагарина","below_ebitda_or_unclear","signed_sum_not_mapped_to_ebitda_until_owner_confirmation; positive_sum_would_subtract; negative_sum_would_reverse_or_add_back","requiring_owner_confirmation","Расшифровать статью `Всякое Гагарина`: состав, период, операционность, связь с исторической точкой Гагарина.","Спорная строка; Гагарина после января 2024 считается исторической и не смешивается с текущей экономикой."
"OTHER_EXPENSES","Всякое Черникова","below_ebitda_or_unclear","signed_sum_not_mapped_to_ebitda_until_owner_confirmation; positive_sum_would_subtract; negative_sum_would_reverse_or_add_back","requiring_owner_confirmation","Расшифровать статью `Всякое Черникова`: какие расходы внутри и являются ли они операционными?","Спорная строка; не использовать в операционном P&L до расшифровки владельцем."
"OTHER_EXPENSES","Перемещения","below_ebitda_or_unclear","signed_sum_not_mapped_to_ebitda_until_owner_confirmation; positive_sum_would_subtract; negative_sum_would_reverse_or_add_back","requiring_owner_confirmation","Что означает `Перемещения`: межскладские движения, корректировка запасов, cash movement или расход?","Спорная строка; нельзя трактовать как расход без управленческого правила."
"OTHER_EXPENSES","Прочие расходы","below_ebitda_or_unclear","signed_sum_not_mapped_to_ebitda_until_owner_confirmation; positive_sum_would_subtract; negative_sum_would_reverse_or_add_back","requiring_owner_confirmation","Расшифровать `Прочие расходы`: какие статьи внутри и какие из них операционные, ниже EBITDA или разовые?","Спорная строка; не использовать в операционном P&L до детализации."
