rule_id,rule_name,current_source,formula_or_logic,applies_to_roles,applies_to_period,pnl_or_cashflow,automation_priority,quality_status,owner_question
PR-001,"Текущий штат берется из листа Штат","Штат!A:E","Наличие строки сотрудник+роль задает активную роль; дата приема используется для стажа","all_staff","current_date","neither","high","confirmed_formula","Нужно ли добавить явный статус active/trial/terminated/archive?"
PR-002,"Текущая категория определяется последним событием","Категории и надбавки!A:D; Штат","Берется последняя категория по сотруднику и роли с датой не позже даты расчета","shift_roles","calculation_date","P&L payroll accrual","high","confirmed_formula","Нужно ли разрешать будущие категории с effective date?"
PR-003,"Коэффициент процента зависит от категории","Исходные данные!G:H; owner clarification 2026-05-20","Google Sheets: категория 1=10; 2=7.5; 3=5; 4=2.5; 5=0; 6=0. Target app: стажеры 4 категории без процента; внештат category 6 без процента","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula_and_owner","Для приложения отделить formula legacy от target business rule"
PR-004,"Ставка смены задается парой роль+категория","Исходные данные!L:N; owner clarification 2026-05-20","Оклад полной 12ч смены ищется по роли и категории. Пиццерист/4 и Сушист/4 = стажеры: только оклад, без процента; конкретные trainee rates задать в приложении","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula_and_owner","Задать trainee salary rules для Пиццерист/4 и Сушист/4"
PR-005,"Административная зарплата идет отдельным контуром","Зарплата Администрации","Фиксированные начисления и выплаты по административным должностям не используют категорийную логику смен","admin_roles","pay_period","P&L payroll accrual and cashflow","medium","confirmed_formula","Нужно ли объединять admin и shift роли в одной карточке сотрудника?"
PR-006,"Выручка дня подтягивается по дате","Смены и выручка!J:K; Калькулятор!C5:I5","SUMIF по дате возвращает сумму дневной выручки","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Будет ли источник выручки iiko или ручная загрузка?"
PR-007,"Порог процента от выручки","Исходные данные!P:Q","50000=3.5%; 140000=4.5%; 190000=5.5%; 550000=6.5%; применяется максимальный достигнутый порог","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Нужно ли хранить историю изменений порогов?"
PR-008,"Парсинг явок из текстовых интервалов","Загрузка явок; Расчет длительности смен","Интервал разбирается формулами LEFT/RIGHT/LEN/MID/VALUE","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Как обрабатывать смены через полночь и нестандартные интервалы?"
PR-009,"Округление длительности смены","Расчет длительности смен!Y:AE","Если минуты >=40, финальная длительность увеличивается на 1 час","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Применять это правило ко всем ролям и всем типам явок?"
PR-010,"Полная смена начинается с 12 часов","Расчет коэффициентов; Калькулятор!C9:I13","Если final_hours >=12, сотрудник получает полный коэффициент и полную ставку смены","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Есть ли роли с другой нормой часов?"
PR-011,"Неполная смена режет коэффициент и оклад","Расчет коэффициентов!J:Q; Калькулятор!C13:I15","Для часов <12 применяется пропорция hours/12","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Нужно ли округлять результат оклада и коэффициента иначе в приложении?"
PR-012,"Распределение процента между участниками смены","Калькулятор!C16:I16","floor(daily_revenue * rate / total_adjusted_coeff * employee_adjusted_coeff)","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Что делать, если total_adjusted_coeff пустой или нулевой?"
PR-013,"Оклад полной смены","Калькулятор!C14:I15","salary_base = role_category_rate + active_allowances + extra_hour_if_any","shift_roles","per_shift_day","P&L payroll accrual","high","confirmed_formula","Какие дни/условия дают доп. час +200?"
PR-014,"Надбавка Старший","Исходные данные!S:T; Категории и надбавки!N:P","Активный статус Старший добавляет 500 RUB к сменной ставке","shift_roles","per_shift_day","P&L payroll accrual","medium","confirmed_formula","Применяется ли Старший по сотруднику или по конкретной роли?"
PR-015,"Надбавка Зам","Исходные данные!S:T; Категории и надбавки!N:P","Активный статус Зам добавляет 300 RUB к сменной ставке","shift_roles","per_shift_day","P&L payroll accrual","medium","confirmed_formula","Применяется ли Зам по сотруднику или по конкретной роли?"
PR-016,"Внеурочный коэффициент","Исходные данные!S:T; Калькулятор!C15:I15","Коэффициент x1.5 применяется при отмеченном признаке; ссылка в калькуляторе конфликтует с депозитным блоком","shift_roles","per_shift_day","P&L payroll accrual","medium","needs_owner_confirmation","Почему Калькулятор!C15:I15 проверяет C25:I25?"
PR-017,"Премии вводятся ручным событием","Категории и надбавки!R:V; Калькулятор!C17:I18","Суммируются по дате, сотруднику и типу Премия; комментарии склеиваются/переносятся в Выгрузка","all_staff","event_date","P&L payroll accrual","high","confirmed_formula","Нужен ли обязательный справочник причин премий?"
PR-018,"Больничные, отпуска и пособия единым типом","Категории и надбавки!R:V; Калькулятор!C19:I19","Ручное начисление увеличивает баланс сотрудника","all_staff","event_date","P&L payroll accrual","medium","confirmed_formula","Нужно ли разделить больничные, отпуска и пособия на подтипы?"
PR-019,"Штрафы и удержания вводятся положительной суммой","Категории и надбавки!R:V; Выгрузка","Сумма хранится положительной, баланс уменьшается по типу строки","all_staff","event_date","contra payroll","high","confirmed_formula","Оставляем положительные суммы с типом удержания или мигрируем в signed amounts?"
PR-020,"Нормализация типа Штрафы и удержания","Выгрузка!F:F","Есть вариант с обычным пробелом и вариант с неразрывным пробелом; должны маппиться в один line_type","all_staff","all_history","contra payroll","high","quality_issue","Можно ли нормализовать исторические строки при миграции?"
PR-021,"Штрафы по ревизиям","Калькулятор!B24:E24","Найденные ставки: 929 для производственных ролей и 25 для Администратор; есть флаг исключения","shift_roles","per_revision_or_period","contra payroll","medium","confirmed_formula","Какой период и основание ревизионного штрафа?"
PR-022,"НДФЛ начислено как удержание","Выгрузка; Персональный отчет!M","Тип Выгрузки НДФЛ Начислено уменьшает баланс сотрудника; в отчете подписан как Удержание НДФЛ","all_staff","event_date","tax withholding","medium","confirmed_formula","Нужна ли сверка НДФЛ с налоговыми платежами?"
PR-023,"Полная строка Налоги с ЗП в P&L не берется только из payroll","pnl-build-methodology.md","Основной источник налогов с ЗП для P&L - ДДС статья Налоги с З/п; payroll только контроль","all_staff","monthly","P&L tax accrual/control","medium","confirmed_owner","Какая сверка между payroll НДФЛ и ДДС налогами нужна в MVP?"
