,,,,,,
Название документа:,Баланс,,,,Дата формирования регламента,29.01.2024
Цель документа:,"Собрать полную, актуальную и достоверную информацию по имуществу (активам) и источникам финансирования (пассивам) компании. Оценить, что имеет компания и за чей счет это было приобретено, каков собственный капитал,его динамика, где «заморожены» деньги.  ",,,,Дата изменения,
Результат отчета:,Собраны данные об активах и их источниках. Определен размер собственного и заемного капиталов компании.,,,,Дата изменения,
Платформа ведения:,Таблицы Google,,,,,
,,,,,,
,,,,,,
Ответственный за ведение и проверку документа:,,,,,,
ФИО/ Перенести в чек-лист,Должность,Какую часть информации заполняют/ Перенести  в чек-лист,Источник информации,До какого срока должен быть заполнен документ за месяц/ Перенести дату в чек-лист,За какой срок заполняется документ,Комментарий
Олеся,Финансовый менеджер,"1. Проверка актуальности внесенной информации
2. Проверка правильности формирования отчета","ДДС, ОПИУ, Учет ОС, ЗПВ, информация по постащикам из айко, ревизионные ведомости по сырью, Учёт ФД, Учёт налогов",до конца 3-го рабочего дня следующего месяца,ежемесячно,
,,,,,,
,,,,,,
Ответственные за заполнение документа:,,,,,,
ФИО/При необходимости перенести в чек-лист,Должность,Какую часть информации заполняют/При необходимости перенести в чек-лист,Источник информации,До какого срока должен быть заполнен документ за месяц /При необходимости перенести в чек-лист,За какой срок заполняется документ,Комментарий
Олеся,Финансовый менеджер,"1. Своевременный сбор отчета
2. Проверка актуальности внесенной информации
3. Проверка правильности формирования отчета","ДДС, ОПИУ, Учет ОС, ЗПВ, информация по постащикам из айко, ревизионные ведомости по сырью, Учёт ФД, Учёт налогов",до конца 3-го рабочего дня следующего месяца,ежемесячно,
,,,,,,
,,,,,,
,,,,,,
"Риски, которые могут сорвать сроки отчетности, и способы их решения",,,,,,
Риск,,Выход из этого риска,,,,
Ответственный за заполнение/ Ответственный за ведение документа уходит в отпуск,,"Ответственное лицо остаётся на связи, отпуск предоставляется с учётом необходимости своевременного предоставления отчёта",,,,
Ответственный за заполнение/ Ответственный за ведение документа заболел,,Срок сдачи отчетности переносится.,,,,
Технический сбой,,По мере необходимости после презентации отчета создается резервное копирование отчетности в рабочее пространство клиента.,,,,
Увольнение ответственного сотрудника,,"Сотрудник должен передать документ в рабочем состоянии с актуальными данными, зафиксировать дату передачи.",,,,
Нарушен срок заполнения отчета,,Информировать ответственных сотрудников о сроках заполнения отчета. Добиваться согласия ответственных лиц по срокам заполнения отчета.,,,,
,,,,,,
Правила работы  с документом,,Видеоинструкция,,,,
Название листа,Описание,,,,,
Вкладка Баланс,Важно!!! Заполняются только белые ячейки!!! Ячейка В46 заполняется вручную!,,,,,
, Ячейка В46 - внести данные по нераспределенной чистой прибыли за предыдущие периоды. ,,,,,
,"Важно!!! В разделе ""Финансовые показатели""  белые ячейки заполняются автоматически!",,,,,
,"Значения в зеленых ячейках раздела ""Финансовые показатели"" выставляются самостоятельно, исходя из отраслевых и иных показателей.",,,,,
,,,,,,
Вкладка Справочник статей баланса,В столбце В заполняется описание статей баланса,,,,,
,В столбце С заполняется источник информации для конкретной статьи баланса,,,,,
,,,,,,
Вкладка Графики,Вкладка формируется автоматически!!! ,,,,,
,Используется для визуального анализа данных баланса,,,,,
,,,,,,
,,,,,,
Вкладка НФ,Вкладка содержит ссылку на скринкаст по заполнению данного шаблона и др. информацию,,,,,
,,,,,,
,,,,,,
Необходимые дополнительные инструменты:,,,,,,
Наименование,,Внедрен/нет,Ответственный за ведение и проверку,Срок заполнения,,
ДДС,,TRUE,Олеся,до 5-го числа следующего,,
ОПиУ,,TRUE,Олеся,до 5-го числа следующего,,
Учет запасов в айко,,FALSE,,,,
Учет финансовой деятельности,,TRUE,Олеся,ежегодно,,
ЗП ведомость,,TRUE,Олеся,еженедельно,,
Учет налогов,,TRUE,Олеся,ежегодно,,
Учет ОС,,TRUE,Олеся,ежегодно,,
Учет ДЗ/КЗ,,FALSE,Олеся,до 5-го числа следующего,,
,,,,,,
,,,,,,
Реестр ознакомления,,,,,,
ФИО,Дата,,,,,
Олеся,29.01.2024,,,,,
Григорий,29.01.2024,,,,,
