title,role,header_like_rows,first_nonempty_rows_masked
Регламент,regulation,"R2: Название документа: | Платежный календарь 2024 | Дата формирования регламента | 13.12.2023
R3: Цель документа: | Планирование и сбор фактических данных по движению денежных средств по статьям отчёта ДДС в разрезе недельных периодов. Осуществление контроля за кассовыми разрывами и их своевременное предотвращение. | Дата изменения
R4: Результат отчета: | Денежный поток под контролем.
Определены действия сотрудников в случае угрозы возникновения кассового разрыва. | Дата изменения
R9: ФИО/ Перенести в чек-лист | Должность | Какую часть информации заполняют/ Перенести в чек-лист | Источник информации | До какого срока должен быть заполнен документ за месяц/ Перенести дату в чек-лист | За какой срок заполняется документ | Комментарий
R14: ФИО/При необходимости перенести в чек-лист | Должность | Какую часть информации заполняют/При необходимости перенести в чек-лист | Источник информации | До какого срока должен быть заполнен документ за месяц /При необходимости перенести в чек-лист | За какой срок заполняется документ | Комментарий
R15: [private_person_hash:7536cf4b02] | Директор по развитию | 1. Своевременный сбор отчета2. Проверка актуальности внесенной информации3. Проверка правильности формирования документа 4. Резервное копирование документа | ДДС | в конце каждой недели, заполняется след. неделя | 1. План - еженедельно
2. Факт - ежедневно/еженедельно
R25: Остатки ДС за период по факт. данным не совпадают с остатками в ДДС | Проверка соответствия перечня статей в ДДС и в ПК, проверка оборотов по каждой статье, проверка расчётных формул для недельных и месячных периодов
R33: Вкладка «Контрагенты» | Если используется аналитика по контрагентам необходимо заполнить данную вкладку","R2: Название документа: | Платежный календарь 2024 | Дата формирования регламента | 13.12.2023
R3: Цель документа: | Планирование и сбор фактических данных по движению денежных средств по статьям отчёта ДДС в разрезе недельных периодов. Осуществление контроля за кассовыми разрывами и их своевременное предотвращение. | Дата изменения
R4: Результат отчета: | Денежный поток под контролем.
Определены действия сотрудников в случае угрозы возникновения кассового разрыва. | Дата изменения
R5: Платформа ведения: | google- таблицы
R8: Ответственный за ведение и проверку документа:"
Как настроить,setup_instruction,"R2: 1 | Проработать архитектуру связей и шапки. Основных листа как правило два : «реестр поступлений» и «реестр выбытий» При необходимости они могут детализироваться, расширяться дополнительными листами и т.д. Самая основная информация содержиться в столбцах фактических и плановых сумм, фактических и плановых дат, и сами статьи. | 1 | Заполнить даты начала недель и даты концов недель на листе «диапазон недель»
R3: 2 | Определить и зафиксировать источники информации.Например, откуда будем брать плановые поступления денег? | 2 | Расписать статьи поступлений и выбытий во вкладке справочник. Как правило этот список импортируется из ДДС
R4: 3 | Определить и зафиксировать ответственных. Кто будет не просто заносить цифры, но и отвечать за улучшение точности попадания в план по ним | 3 | Во вкладке «Календарь» заполнить интересующий диапазон недель (желтые ячейки)
R6: 5 | Определиться с какой недели начнем планирование. Остатки денег на начало этой недели РУКАМИ занести во вкладку «календарь» (занести как в столбец «план», так и в столбец « факт») | 5 | Во вкладку «Факт ДДС» через importrange закинуть данные из ДДС (при наличии) сохраняем структуру столбцов заданную в платёжном календаре, или же вбить руками фактические операции
R7: 6 | Выдать задание заполнить плановые выбытия и поступления на 1-2-3-4 недели вперед.  | 6 | В остатках на начало (8-ая строка) в формуле подправить при необходимости номер строки с остатками на конец. Т.е. если остатки на конец месяца находятся не в 75 строке, а в 80-ой. То в формуле надо заменить 75 на 80 и растянуть ее.
R10: Как привить привычку пользоваться календарем | Как минимум на первое время будет полезно в самой организации назначить встречи по план/факту календаря раз в неделю. Присутствие консультанта необязательно. На это встрече должны присутствовать ответственные за выбытия и поступления денег (те, кто вносит цифры в календарь). В самый первый раз стоит объяснить цель таких встреч, их структуру и вообще зачем нужен платежный календарь (может получиться затронуть то, что касается их самих, например, « с помощью календаря мы не постепенно научимся планировать движение денег. И ситуации как в прошлом месяце , когда не доплатили всю зп, не будет»). 

Возможная структура таких встреч :

1) Анализ попадания в план по поступлениям и выбытиям. Обсуждаются операционные моменты (например, почему клиент не заплатил на этой неделе, почему поставщикам заплатили больше чем планировали и т.д.). Важно не просто поболтать насколько попали в план, а делать выводы для улучшения точности планирования, может фиксировать их или менять процессы для улучшения точности планирования.

2) Обсуждаются, ставятся и корректируются планы на следующую неделю (или другой период, могут в принципе корректироваться цифры по этому месяцу). Просматривается наличие в будущем кассовых разрывов в зависимости  от разных сценариев поступлений и выбытий.
Если плановое поступление/выбытие не свершилось или свершилось не полностью, то в реестрах эти строки не надо удалять в уже прошедших периодов, а надо создавать новые строки с скорректированными данными на будущие недели.  

R11: Сводить план/факт прошедших периодов | Как только прошла неделя в календаре в первой строке необходимо поставить галочку над этой неделей. Делается это для того, чтобы все будущие планы поступлений и выбытий в качестве отправной точки брали фактические остатки денег, которые есть сейчас.","R1: Шаги по первому внедрению | Техническая часть
R2: 1 | Проработать архитектуру связей и шапки. Основных листа как правило два : «реестр поступлений» и «реестр выбытий» При необходимости они могут детализироваться, расширяться дополнительными листами и т.д. Самая основная информация содержиться в столбцах фактических и плановых сумм, фактических и плановых дат, и сами статьи. | 1 | Заполнить даты начала недель и даты концов недель на листе «диапазон недель»
R3: 2 | Определить и зафиксировать источники информации.Например, откуда будем брать плановые поступления денег? | 2 | Расписать статьи поступлений и выбытий во вкладке справочник. Как правило этот список импортируется из ДДС
R4: 3 | Определить и зафиксировать ответственных. Кто будет не просто заносить цифры, но и отвечать за улучшение точности попадания в план по ним | 3 | Во вкладке «Календарь» заполнить интересующий диапазон недель (желтые ячейки)
R5: 4 | Настроить везде необходимые формулы и связи, настроить главный лист «Календарь». (см. блок «техническая часть) | 4 | Во вкладке «Календарь» заполнить интересующий начальные остатки денег (оранжевые ячейки)"
Календарь,weekly_plan_fact,"R6: Номер недели | 1 | 1 | 2 | 2 | 3 | 3 | 4 | 4 | 5 | 5 | 6
R7: План/факт | план | факт | план | факт | план | факт | план | факт | план | факт | план","R1: Ответственные | TRUE | TRUE | TRUE | TRUE | TRUE | TRUE | TRUE | TRUE | TRUE
R2: Январь | Январь | Февраль | Февраль | Март | Март | Апрель | Апрель | Май | Май
R3: Год | 2020 | 2020 | 2020 | 2020 | 2020 | 2020 | 2020 | 2020 | 2020
R4: Начало недели | 01.01.2024 | 01.01.2024 | 08.01.2024 | 08.01.2024 | 15.01.2024 | 15.01.2024 | 22.01.2024 | 22.01.2024 | 29.01.2024
R5: Конец недели | 07.01.2024 | 07.01.2024 | 14.01.2024 | 14.01.2024 | 21.01.2024 | 21.01.2024 | 28.01.2024 | 28.01.2024 | 04.02.2024"
Плановый Реестр поступлений,planned_inflows,R2: Контрагент | Статья поступлений | Сумма план | Дата планируемого получения | Комментарий | Год план | Месяц план | Номер недели план,"R2: Контрагент | Статья поступлений | Сумма план | Дата планируемого получения | Комментарий | Год план | Месяц план | Номер недели план
R3: [counterparty_hash:335b2a2e9a] | Поступление денег с торг. точек | р.800 000,00 | 05.01.24 | 2024 | 1
R4: [counterparty_hash:335b2a2e9a] | Поступление денег с торг. точек | р.900 000,00 | 11.01.24 | 2024 | 1
R5: [counterparty_hash:335b2a2e9a] | Поступление денег с торг. точек | р.900 000,00 | 18.01.24 | 2024 | 1
R6: [counterparty_hash:335b2a2e9a] | Поступление денег с торг. точек | р.900 000,00 | 25.01.24 | 2024 | 1"
Плановые Реестр выбытий,planned_outflows,R2: Контрагент | Статья | Номер счета | Сумма план | Дата планируемой оплаты | Комментарий | Год план | Месяц план | Номер недели план,"R2: Контрагент | Статья | Номер счета | Сумма план | Дата планируемой оплаты | Комментарий | Год план | Месяц план | Номер недели план
R3: [counterparty_hash:01761130fc] | Оплата поставщикам  | р.132 000,00 | 02.01.2024 | 2024 | 1
R4: [counterparty_hash:01761130fc] | Оплата поставщикам  | р.200 000,00 | 09.01.2024 | 2024 | 1
R5: [counterparty_hash:01761130fc] | Оплата поставщикам  | р.120 000,00 | 16.01.2024 | 2024 | 1
R6: [counterparty_hash:01761130fc] | Оплата поставщикам  | р.120 000,00 | 23.01.2024 | 2024 | 1"
Факт ДДС,dds_actual_import,R1: Год | Мсц (цифрой) | Дата | Сумма | Контрагент | Назначение платежа | Статья | Платеж/поступл,"R1: Год | Мсц (цифрой) | Дата | Сумма | Контрагент | Назначение платежа | Статья | Платеж/поступл
R2: 2024 | 1 | 03.01.2024 | -20 000,00 | Выбытие — Перевод между счетами
R3: 2024 | 1 | 03.01.2024 | -1 000,00 | Корретировки кассы - | Выбытие
R4: 2024 | 1 | 03.01.2024 | -6 540,00 | [counterparty_hash:856bc7fd96] | Курьерская служба - | Выбытие
R5: 2024 | 1 | 03.01.2024 | 8 880,00 | [counterparty_hash:335b2a2e9a] | Поступление денег с торг. точек | Поступление"
Поставщики,supplier_list,,"R1: Оплата поставщикам 
R2: 2023
R3: Месяц | 1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 1
R4: [counterparty_hash:4a816df90f] | 1 661 843 | 1 529 868 | 1 915 694 | 1 512 288 | 2 120 624 | 1 564 082 | 1 634 976 | 1 567 832 | 0
R5: [counterparty_hash:335b2a2e9a]"
Справочник,article_reference,,"R2: Возврат переплаты от поставщиков | Поступление
R3: Резервы поступление | Поступление
R4: Резервы вывод | Выбытие
R5: Корретировки кассы + | Поступление
R6: Корретировки кассы - | Выбытие"
Контрагенты,counterparty_reference,R1: Контрагенты список | Группа,"R1: Контрагенты список | Группа
R2: [counterparty_hash:335b2a2e9a]
R3: [counterparty_hash:8009e18a18]
R4: [counterparty_hash:856bc7fd96]
R5: [counterparty_hash:a079b1ede6]"
Диапазон недель,week_ranges,R1: Номер недели | С | ПО,"R1: Номер недели | С | ПО
R2: 1 | 01.01.2024 | 07.01.2024
R3: 2 | 08.01.2024 | 14.01.2024
R4: 3 | 15.01.2024 | 21.01.2024
R5: 4 | 22.01.2024 | 28.01.2024"
