entity,purpose,key_fields,source_today,target_owner,privacy_level,comment
Employee,"Карточка сотрудника без хранения расчетов внутри карточки","employee_id; display_name; status; hire_date; termination_date; notes","Штат; Категории и надбавки; Выгрузка","HR/payroll owner","high_personal","В документации не раскрывать ФИО и персональные суммы"
EmployeeStatusEvent,"История статусов найма, испытательного срока, увольнения и архива","status_event_id; employee_id; status; effective_date; reason; actor_id","не формализовано; косвенно Штат и депозитные решения","HR owner","high_personal","Нужно добавить в приложение, потому что единого статуса в Sheets нет"
Role,"Справочник ролей и должностей","role_id; role_name; role_group; is_shift_role; is_admin_role","Исходные данные; Штат; Зарплата Администрации","Payroll owner","internal","Сменный Администратор отделен от административных ролей"
EmployeeRoleAssignment,"Назначение сотрудника на роль с историей","assignment_id; employee_id; role_id; active_from; active_to; is_primary; location_id","Штат; Категории и надбавки","HR/payroll owner","high_personal","Один сотрудник может иметь несколько ролей"
EmployeeCategoryEvent,"История категории по сотруднику и роли","category_event_id; employee_id; role_id; category; effective_date; comment; source_id","Категории и надбавки!A:D","Payroll owner","high_personal","Текущая категория считается как последняя запись на дату расчета"
CategoryRule,"Правила категории: коэффициент, депозит, удержание","category; revenue_coeff; default_deposit_required; default_deposit_withholding; active_from; active_to","Исходные данные!G:J","Payroll owner","internal","Категория 6 требует бизнес-расшифровки"
RoleCategoryRate,"Ставка полной смены по роли и категории","rate_id; role_id; category; full_shift_rate; currency; active_from; active_to","Исходные данные!L:N","Payroll owner","internal","Нет ставки для Пиццерист/4 и Сушист/4"
RevenuePercentTier,"Порог выручки и процент дневного пула","tier_id; min_daily_revenue; percent_rate; active_from; active_to","Исходные данные!P:Q","Payroll owner","internal","Используется для расчета Процента от выручки"
AllowanceRule,"Справочник сумм надбавок и множителей","allowance_rule_id; allowance_type; amount_or_multiplier; unit; active_from","Исходные данные!S:T","Payroll owner","internal","Старший +500; Зам +300; доп. час +200; внеурочный x1.5"
EmployeeAllowanceEvent,"Назначение или снятие надбавки","allowance_event_id; employee_id; role_id; allowance_type; effective_date; end_date; status","Категории и надбавки!N:P","HR/payroll owner","high_personal","Нужно решить, действует надбавка на сотрудника или на роль"
ShiftSchedule,"Плановая смена","shift_id; date; employee_id; role_id; location_id; source_id","Смены и выручка!A:H через IMPORTRANGE","Operations manager","high_personal","Источник истины расписания нужно выбрать перед разработкой"
AttendanceEntry,"Фактическая явка сотрудника","attendance_id; employee_id; date; raw_interval; imported_from; quality_status","Загрузка явок","Operations manager","high_personal","Нужен валидатор формата и смен через полночь"
ShiftDurationResult,"Рассчитанная длительность смены","duration_id; attendance_id; final_hours; rounded_minutes_rule; is_full_shift; quality_status","Расчет длительности смен!Y:AE","Payroll engine","sensitive_internal","Минуты >=40 округляют час вверх"
DailyRevenue,"Выручка дня для расчета процента","revenue_id; date; location_id; revenue_amount; source; quality_status","Смены и выручка!J:K","Finance/operations owner","sensitive_internal","В будущем желательно брать из iiko/финансового источника"
ShiftCoefficient,"Коэффициент участника смены","coefficient_id; date; employee_id; role_id; category; planned_coeff; adjusted_coeff; total_day_coeff","Расчет коэффициентов","Payroll engine","sensitive_internal","Знаменатель распределения процента от выручки"
PayrollRun,"Расчет зарплаты за период","payroll_run_id; period_start; period_end; location_id; status; rules_version; closed_at","Калькулятор; Понедельные начисления","Payroll owner","payroll_sensitive","Заменяет ручной недельный калькулятор"
PayrollLedgerLine,"Единая строка начисления, удержания, фонда, депозита или налога","ledger_line_id; payroll_run_id; employee_id; event_date; line_type; amount; balance_effect; source_type; source_id","Выгрузка","Payroll owner","payroll_sensitive","Главный accrual ledger будущего модуля"
PayrollLineType,"Нормализованный справочник типов строк","line_type_id; display_name; balance_effect; pnl_category; cash_effect; fund_effect; deposit_effect","Выгрузка!F:F; payroll_line_dictionary.csv","Payroll/finance owner","internal","Нужна нормализация Штрафы и удержания с NBSP"
