sheet,range_or_cell,purpose,formula_type,depends_on,feeds_into,manual_or_formula,quality_status,comment
Исходные данные,A:C,Список сотрудников/должностей/категорий из текущего штата,QUERY/derived,Штат!A:C,"Исходные данные!D:E; Калькулятор; Расчет коэффициентов",formula,verified,"Блок содержит персональные строки; в документации не раскрыт."
Исходные данные,D:E,Премиальный коэффициент и стоимость смены по сотруднику/роли,VLOOKUP/SUMIF,Исходные данные!G:H; Исходные данные!L:N,"Калькулятор!C13:I15; Расчет коэффициентов!B:H",formula,verified,"Коэффициент берется по категории; ставка смены по должности+категории."
Исходные данные,G:J,Категория -> коэффициент/депозит/удержание,manual,ручной ввод,"Исходные данные!D; Штат; Калькулятор",manual,verified,"Справочник категорий и депозитных параметров."
Исходные данные,L:N,Должность+категория -> стоимость смены,manual,ручной ввод,Калькулятор!C14:I14,manual,verified,"Базовая ставка смены до надбавок и пропорциональности по часам."
Исходные данные,P:Q,Пороги выручки и процент от выручки,manual,ручной ввод,Калькулятор!C16:I16,manual,verified,"Видны процентные tiers, включая 3,5%; формула выбирает максимальный пройденный порог."
Исходные данные,S:T,Надбавки и коэффициенты,manual,ручной ввод,Калькулятор!C14:I15,manual,verified,"Старший/зам, внеурочный коэффициент, надбавка за доп. час."
Исходные данные,V:W,Процент накопительного фонда по стажу,manual,ручной ввод,Калькулятор!C20:I20,manual,verified,"Применяется к окладу после проверки стажа."
Исходные данные,AA:AB,Исходный депозит сотрудника,manual,ручной ввод,Штат!L; Калькулятор!C25:I27,manual,verified,"Персональные значения не раскрыты."
Категории и надбавки,A:D,История постановки сотрудника на категорию,manual,ручной ввод,Штат!C,manual,verified,"Берется последняя запись на дату расчета."
Категории и надбавки,F:H,Особые условия депозитов,manual,ручной ввод,Штат!M:N; Калькулятор!C26:I26,manual,verified,"Переопределяет требуемый депозит и сумму удержания."
Категории и надбавки,J:L,Выдача депозитов при увольнении,manual,ручной ввод,Штат!P:Q; Калькулятор!C25:I27,manual,verified,"Статусы выдачи/невыдачи и коэффициент возврата."
Категории и надбавки,N:P,Вступление/снятие с должности старшего/зам,QUERY/FILTER source,ручной ввод,Штат!D; Калькулятор!C12:I14,manual,verified,"Используется для надбавки старшего/заместителя."
Категории и надбавки,R:V,Премии/штрафы/НДФЛ/больничные и комментарии,manual,ручной ввод,"Калькулятор!C17:I23; Калькулятор!C18:I22",manual,verified,"Тип операции лежит в U, сумма в T, комментарий в V."
Смены и выручка,A1:H,Импорт расписания смен,IMPORTRANGE,Внешняя таблица Смены!B4:I,"Калькулятор!C10:I10; Расчет коэффициентов!A:H",formula,verified,"Внешний источник: отдельный Google Sheet с расписанием."
Смены и выручка,J:K,Загрузка выручки по датам,manual,ручной ввод,Калькулятор!C5:I5,manual,verified,"J = дата, K = сумма выручки."
Загрузка явок,B;E:L,Фактические явки и интервалы работы,manual/loaded,ручной или импортный ввод,"Расчет длительности смен!A:H; Калькулятор!C6:I9; Расчет коэффициентов!J:Q",manual,verified,"B = сотрудник; E:L = интервалы по датам недели."
Расчет длительности смен,A3:H,Расчет сырых длительностей по дням,ARRAYFORMULA/LEFT/RIGHT/LEN,Загрузка явок!B; Загрузка явок!E:L,Расчет длительности смен!J:W,formula,verified,"Парсинг зависит от длины текстового интервала; формат интервала критичен."
Расчет длительности смен,J:W,Разделение длительности на часы и минуты,ARRAYFORMULA/VALUE/MID,Расчет длительности смен!B:H,Расчет длительности смен!Y:AE,formula,verified,"Отдельные пары час/минута для каждого дня."
Расчет длительности смен,Y:AE,Финальная длительность смены с округлением минут,ARRAYFORMULA/IF,Расчет длительности смен!J:W,"Расчет коэффициентов!K:Q; Калькулятор!C9:I9",formula,verified,"Если минуты >=40, час округляется вверх."
Расчет коэффициентов,A:H,Плановые коэффициенты по расписанию,ARRAYFORMULA/SUMIF,"Смены и выручка!A:H; Исходные данные!A:D",Расчет коэффициентов!K:Q,formula,verified,"Сопоставляет сотрудник+роль с премиальным коэффициентом."
Расчет коэффициентов,J:Q,Коэффициенты с учетом фактических часов,ARRAYFORMULA/IF/SUMIF,"Загрузка явок!B; Расчет длительности смен!Y:AE; Расчет коэффициентов!A:H",Калькулятор!C8:I8,formula,verified,"Если длительность >=12 часов, берется полный коэффициент; иначе коэффициент * часы/12."
Калькулятор,C5:I5,Выручка по датам недели,SUMIF,Смены и выручка!J:K,Калькулятор!C16:I16,formula,verified,"По дате C6:I6 подтягивается сумма выручки."
Калькулятор,C6:I6,Даты расчетной недели,cell refs/IF,Загрузка явок!E1:L1,"Калькулятор!C5:I23; Калькулятор!J6",formula,verified,"Один день имеет условие fallback G1/H1."
Калькулятор,C8:I8,Сумма коэффициентов смены,SUM,Расчет коэффициентов!K:Q,Калькулятор!C16:I16,formula,verified,"Знаменатель распределения процента между участниками смены."
Калькулятор,C9:I9,Длительность выбранного сотрудника,ARRAYFORMULA/SUMIF/IF,Расчет длительности смен!A; Расчет длительности смен!Y:AE,"Калькулятор!C13:I14; Калькулятор!C4:I4",formula,verified,"12+ часов маркируется как `Смена`, иначе возвращается число часов."
Калькулятор,C10:I10,Роль сотрудника по дням,FILTER,Смены и выручка!A:H,"Калькулятор!C11:I15; Калькулятор!J10",formula,verified,"Фильтр по выбранному сотруднику в A7."
