"entity","purpose","key_fields","source_today","target_owner","privacy_level","comment"
"accounts","Верхний справочник банковских и кассовых счетов","account_id; account_type; bank; legal_owner; currency; active_from; active_to","Google Sheets wallets; Sber/T-Bank API docs; own accounts registry private","finance_admin","financial_sensitive","Не хранить полные номера счетов в открытых processed; публично использовать account_alias/hash."
"wallets","Управленческие кошельки ДДС для roll-forward остатков","wallet_id; account_id; wallet_name; wallet_type; location; active_flag","Google Sheets sheets Тинькофф/Альфа/Сбербанк/Сейф/ТК Черникова/ТК Гагарина/ГарантФонд","finance_admin","financial_sensitive","Разделить активные 2026 кошельки и исторические; ТК Гагарина пометить legacy до owner confirmation."
"wallet_balance_snapshots","Фиксация начальных и контрольных остатков по кошелькам","snapshot_id; wallet_id; snapshot_date; opening_or_closing; amount; source; quality_status","Google Sheets settings and wallet sheets; bank statement balances","finance_admin","financial_sensitive","Нужны дневные/месячные snapshots вместо одного стартового месяца."
"bank_import_runs","Контроль загрузок Sber/T-Bank и свежести источников","import_run_id; bank; period_from; period_to; started_at; finished_at; operation_count; status","Sber/T-Bank scripts and processed reports","data_engineering","internal","Использовать для source freshness и повторяемости импортов."
"bank_operations","Нормализованный банковский факт до управленческой классификации","bank_operation_id; bank; operation_date; direction; amount_abs; native_category; counterparty_hash; account_alias; raw_ref_private","Sber statement API; T-Bank statement API","data_engineering","high_private","Полный payment purpose и реквизиты остаются в private raw store; processed хранит hash/signature."
"own_accounts_registry","Приватный реестр собственных счетов для внутренних переводов","own_account_id; bank; account_hash; masked_account; owner_entity; active_flag","research/private/bank_own_accounts_registry.csv","finance_admin","high_private","Критично для исключения Sber->T-Bank из выручки; полный реестр не публиковать."
"cashflow_transactions","Управленческий журнал операций ДДС после классификации","transaction_id; operation_date; amount_signed; wallet_id; dds_article_id; counterparty_id; source_system; quality_status; transfer_group_id","Google Sheets ДДС: месяц; classified bank operations","finance_admin","financial_sensitive","Целевая замена ДДС: месяц; private purpose доступен только по ролям."
"dds_articles","Справочник статей ДДС и их управленческой классификации","dds_article_id; article_name; movement_type; activity_type; pnl_line_candidate; balance_relation; active_flag","Google Sheets ДДС: статьи; dds_article_map.csv","finance_admin","internal","Нельзя использовать текст как ключ; нужны immutable id и aliases."
"dds_article_aliases","Нормализация дублей и исторических названий статей","alias_id; dds_article_id; alias_text; source; active_flag","dds_article_map.csv; Google Sheets formula risks","finance_admin","internal","Закрывает дубли Оплата/Оплаты, SEO, Налоги с з/п/ЗП, Услуги ФД/ФД и НК."
"counterparties","Справочник управленческих контрагентов","counterparty_id; working_name; legal_name_private; payment_role; owner_status; source_status","docs/business-control/13-counterparties.md; counterparty_payment_map.md","finance_admin","private","В отчетах показывать рабочие алиасы/группы; юридические реквизиты ограничить ролями."
"counterparty_aliases","Правила распознавания контрагентов из банка, DDS и ЭДО","alias_id; counterparty_id; alias_text_or_hash; source_system; confidence; private_flag","T-Bank DDS match; private bank rules; owner confirmations","finance_admin","private","Для ИП/физлиц и назначений использовать hash/signature, не полные строки."
"payment_roles","Управленческие роли платежей вне конкретной статьи","payment_role; default_articles; document_requirement; pnl_balance_policy","counterparty_payment_map.md; payment_workflow_spec.md","finance_admin","internal","Примеры: food_supplier, payroll_employee_group, marketing_vendor, bank_or_acquirer, fixed_asset_vendor."
"classification_rules","Rule engine для flow type, статьи и owner review","rule_id; priority; source_bank; match_signature; flow_type; article_candidate; confidence; requires_owner_review","bank_classification_rules_spec.md; private bank_operation_rules.csv","finance_admin","private","Публично хранить только безопасную логику; реальные фрагменты назначений платежей private."
"classification_events","История применения правил к банковским операциям","event_id; bank_operation_id; rule_id; flow_type; confidence; applied_at; changed_by","current classified bank outputs","data_engineering","internal","Нужна воспроизводимость классификации и audit trail."
"payment_calendar_items","Плановые поступления и платежи","calendar_item_id; direction; status; due_date; amount; counterparty_id; article_id; wallet_id; linked_transaction_id","Google Sheets payment calendar plan registries","finance_admin","private","Заменяет плановые реестры; номер счета и комментарий держать private."
"payment_approvals","Согласование платежа до оплаты","approval_id; calendar_item_id; approver_id; decision; decided_at; limit_check; balance_check","payment_workflow_spec.md","owner_or_finance_lead","private","Фиксирует кто и почему разрешил оплату; нужен audit trail."
"calendar_weeks","Системный календарь недель для план-факта","week_id; year; week_number; date_start; date_end; calendar_standard","Google Sheets Диапазон недель","data_engineering","low","Генерировать для нужного года; не переносить hardcoded 2023 ranges."
"source_documents","Документы-основания платежа или P&L/баланса","source_document_id; document_type; counterparty_id; document_date; service_period; amount; source_system; private_link","EDO DocsInbox/SBIS planned; payroll; contracts; invoices; checks","finance_admin","private","Общее место для ЭДО, payroll run, договора, налогового основания, ОС-документа."
"document_matches","Связь документа, плана, банка и ДДС","match_id; source_document_id; calendar_item_id; transaction_id; match_type; amount_matched; quality_status","payment_workflow_spec.md","finance_admin","private","Поддержать partial, advance, overpayment, no_bank_payment, no_document."
"pnl_balance_postings","Управленческое признание в P&L, балансе или капитале","posting_id; transaction_id; source_document_id; posting_type; period; pnl_line; balance_account; amount","dds_pnl_bridge.md; future P&L/balance modules","finance_admin","financial_sensitive","Деньги не равны расходу периода; posting фиксирует правильный учетный слой."
"reconciliation_cases","Очередь расхождений и owner review","case_id; case_type; related_entity; amount; period; status; owner_question; resolution","bank_reconciliation_controls.md; payment_workflow_spec.md","finance_admin","internal","Статусы: new, asked_owner, answered, rule_created, excluded, closed."
"payroll_payment_batches","Агрегированная связь ДДС с выплатами payroll","batch_id; payroll_period; payment_type; amount_total; transaction_ids; payroll_run_id_private; quality_status","Payroll module spec; bank payroll_payment groups","payroll_owner","high_private","Не публиковать персональные строки сотрудников; ДДС видит batch и агрегаты."
"edo_documents","Входящие ЭДО-документы для маркетинга и сервисов","edo_document_id; counterparty_id; document_date; service_period; amount; document_status; linked_payment_id","DocsInbox/SBIS planned; dds_pnl_bridge.md","finance_admin","private","Целевой источник P&L для маркетинга, сайта, SEO, контекста и части сервисов."
"fixed_asset_candidates","Платежи и документы, которые могут создавать ОС","candidate_id; transaction_id; source_document_id; asset_type; amount; location; review_status","dds_article_map.csv; fixed assets spec","finance_admin","private","Покупка ОС не расход P&L; без документа и ввода в эксплуатацию держать owner_review."
"loan_schedules","Графики кредитов, займов и овердрафта","loan_id; lender_counterparty_id; due_date; principal; interest; fee; balance_after","bank_classification_rules_spec.md; loan_payment groups","finance_admin","financial_sensitive","Нужен split тела, процентов и комиссий; тело долга в баланс."
"audit_log","Неизменяемая история ручных изменений","audit_id; entity; entity_id; field_changed; old_value_hash; new_value_hash; changed_by; changed_at; reason","future app requirement","data_engineering","internal","Обязательно для изменений статьи, контрагента, периода, posting и owner review."
