"rule_id","rule_name","current_source","formula_or_logic","applies_to_accounts","applies_to_articles","cashflow_or_pnl_or_balance","automation_priority","quality_status","owner_question"
"DDS-R001","Signed amount convention","Google Sheets ДДС: месяц","Поступления хранятся положительными, выбытия отрицательными; direction выводится из статьи, но сумма должна иметь корректный знак.","all wallets","all DDS articles","cashflow","high","подтверждено формулами/документами","Нет."
"DDS-R002","Article id controls movement and activity","Google Sheets ДДС: статьи; gs_dds_formula_dependencies.csv","dds_article_id определяет movement_type и activity_type; текстовые aliases не должны быть ключом отчета.","all wallets","all DDS articles","cashflow","critical","подтверждено формулами/документами","Нормализуем текущие дубли статей сразу или сохраняем как aliases?"
"DDS-R003","Wallet monthly roll-forward","Google Sheets wallet sheets","opening_balance + sum(amount_signed by wallet, period) = closing_balance.","all wallets","all DDS articles","cashflow/balance","critical","подтверждено формулами/документами","Какая дата/остаток является стартом для актуального 2026 контура?"
"DDS-R004","Total cash reconciliation","Google Sheets ДДС: Сводный","report_closing_cash must equal sum(wallet_closing_balance); mismatch opens reconciliation_case and blocks closing.","all wallets","all DDS articles","cashflow/balance","critical","подтверждено формулами/документами","Нет."
"DDS-R005","Unclassified blocks period close","dds_sheet_quality_risks.md","Любая операция без valid article/activity_type остается unclassified и блокирует закрытие периода.","all wallets","unknown articles","cashflow","critical","подтверждено формулами/документами","Нет."
"DDS-R006","Technical transfers excluded but reconciled","Google Sheets ДДС: Сводный transfer check","Технические внутренние переводы не входят в operating/investing/financing, но должны давать 0 по паре или группе.","all own accounts","Поступление — Перевод между счетами; Выбытие — Перевод между счетами","cashflow/balance","critical","подтверждено формулами/документами","Какие кошельки и счета считать собственными в актуальном реестре?"
"DDS-R007","Weekly payment calendar roll-forward","payment_calendar_architecture.md","week_opening = previous_week_closing; closing = opening + planned/actual inflows + outflows.","all wallets","all planned articles","cashflow","high","подтверждено формулами/документами","С какой фактической даты и остатка должен стартовать календарь MVP?"
"DDS-R008","Plan-fact item link","payment_calendar_architecture.md; payment_workflow_spec.md","Плановый платеж не становится фактом, пока не связан с bank_operation/cashflow_transaction или не закрыт вручную с reason.","all accounts","all payment calendar articles","cashflow","high","подтверждено формулами/документами","Нужны ли частичные оплаты в MVP или достаточно full match?"
"DDS-R009","Sber acquiring revenue","bank_classification_rules_spec.md; Sber API docs","Sber credit with acquiring/merchant or owner-confirmed payment-acceptance signature -> revenue_acquiring_sber.","Sber","Выручка эквайринг Sber; интернет-эквайринг Sber / StarterApp","cashflow/P&L bridge","critical","подтверждено данными","Поддерживать private whitelist допустимых revenue signatures."
"DDS-R010","T-Bank direct acquiring revenue","bank_classification_rules_spec.md; cashflow report","T-Bank credit not from Sber with T-Bank acquiring signature -> revenue_acquiring_tbank.","T-Bank","Выручка эквайринг T-Bank","cashflow/P&L bridge","high","гипотеза / owner review","Подтвердить точную сигнатуру прямого T-Bank эквайринга."
"DDS-R011","Management bank revenue formula","bank_reconciliation_controls.md","management_bank_revenue = revenue_acquiring_sber + revenue_acquiring_tbank - confirmed_customer_refunds; internal transfers excluded.","Sber; T-Bank","revenue flow types; Возвраты клиентам","cashflow/P&L bridge","critical","подтверждено владельцем и данными","Какие refund rows являются customer refunds?"
"DDS-R012","Sber to T-Bank internal transfer mirror","cashflow/report.md; internal_transfer_check.csv","Sber debit to own T-Bank account must mirror T-Bank credit from own Sber account by month/date/amount; tolerance max(1%, 10000 RUB) until pair matching is built.","Sber; T-Bank","internal transfer articles","cashflow/balance","critical","подтверждено данными","Подтвердить полный own_accounts_registry и новые счета при появлении."
"DDS-R013","Duplicate revenue guard","bank_reconciliation_controls.md","T-Bank inflow from Sber never contributes to revenue, even if native category is incomePeople.","T-Bank","internal_transfer_sber_to_tbank","cashflow/P&L bridge","critical","подтверждено владельцем","Нет."
"DDS-R014","Supplier payment classification","bank_classification_rules_spec.md; counterparty_payment_map.md","T-Bank debit contragentOutcome -> supplier_payment; exact DDS article from private counterparty override or owner mapping.","T-Bank","Оплата поставщикам; automation; marketing; rent; telecom; other supplier articles","cashflow/P&L bridge","high","частично подтверждено","Для unmapped supplier groups указать статью и рабочий alias."
"DDS-R015","Supplier payment is not food cost","dds_pnl_bridge.md","Оплата поставщику закрывает кредиторку/аванс; food cost периода берется из iiko OLAP/накладных.","T-Bank","Оплата поставщикам","cashflow/P&L/balance","critical","подтверждено документами","Нет."
"DDS-R016","Business card review","bank_classification_rules_spec.md; counterparty_payment_map.md","T-Bank cardOperation cannot auto-close to one article; needs merchant+receipt+owner rule.","T-Bank business card","Оплата поставщикам; питание персонала; содержание ТТ; Покупка ОС; owner spend","cashflow/P&L/balance","high","гипотеза / owner review","Какие правила для merchant groups: продукт, питание персонала, содержание, ОС или личное?"
"DDS-R017","Payroll payment is cash settlement","dds_pnl_bridge.md; payment_workflow_spec.md","Payroll bank payment closes payroll liability or advance; it does not create P&L payroll expense by itself.","T-Bank; cash wallets","Выплата ЗП; Выплата аванса; Выплата накоплений; зарплата персонала","cashflow/P&L/balance","critical","подтверждено документами","Подтвердить разделение payroll, owner withdrawals and other people payments."
"DDS-R018","Payroll taxes split","dds_pnl_bridge.md; bank_classification_rules_spec.md","tax_payment must split payroll taxes, other taxes, penalties/fines; payroll taxes feed P&L line Налоги с ЗП with payroll as control.","T-Bank","Налоги с з/п; Налоги с ЗП; Налоги; Штрафы и пени","cashflow/P&L/balance","high","гипотеза / owner review","Разделить налоги с зарплаты, прочие налоги, пени и штрафы."
"DDS-R019","Bank fee split","bank_flow_type_dictionary.csv; dds_article_map.csv","fee/commission rows split into Эквайринг, РКО, Прочие банковские комиссии, Комиссия за овердрафт where detectable.","Sber; T-Bank","Эквайринг; РКО; Прочие банковские комиссии; Комиссия за овердрафт","cashflow/P&L","high","подтверждено данными для detection","Проверить разнос эквайринговых комиссий между Sber и T-Bank."
"DDS-R020","Loan and overdraft split","dds_pnl_bridge.md; bank_classification_rules_spec.md","loan_payment split into principal, interest and fees; principal goes to balance, interest/fees below EBITDA.","Sber; T-Bank","Получение овердрафта; Погашение овердрафта; Проценты по кредитам; Комиссия за овердрафт","cashflow/P&L/balance","high","гипотеза / owner review","Разделить тело долга, проценты и комиссии."
"DDS-R021","Customer refund rule","bank_flow_type_dictionary.csv","refund reduces management revenue only after owner confirms customer refund; supplier/card refunds linked to original payment instead.","T-Bank","Возвраты клиентам; Возврат переплаты от поставщиков","cashflow/P&L/balance","medium","гипотеза / owner review","Какие refundIn являются клиентскими возвратами?"
"DDS-R022","DepositFullWithdrawal review","bank_classification_rules_spec.md","depositFullWithdrawal credits stay other_inflow/suspense until economic meaning is defined.","T-Bank","not_applicable","cashflow/balance","medium","гипотеза / owner review","Это депозит, финансирование, внутреннее движение или прочее поступление?"
"DDS-R023","SelfTransferOuter review","bank_classification_rules_spec.md","selfTransferOuter debits stay other_outflow/suspense until split into internal transfer, owner withdrawal, financing or expense.","T-Bank","internal transfer; owner withdrawal; financing; expense candidate","cashflow/balance","high","гипотеза / owner review","Определить экономический смысл selfTransferOuter groups."
"DDS-R024","Sber other debit review","bank_classification_rules_spec.md","Sber debit outside confirmed transfer/fee/loan patterns cannot auto-map to expense.","Sber","other_outflow","cashflow/balance","medium","гипотеза / owner review","Разобрать Sber other debits outside confirmed transfer chain."
"DDS-R025","iiko revenue bridge","bank_reconciliation_controls.md","Compare Sber acquiring + T-Bank acquiring - customer refunds vs iiko revenue by month; coverage trend not forced to 100%.","Sber; T-Bank","revenue flow types","cashflow/P&L bridge","high","подтверждено данными","Подтвердить missing channels if coverage materially changes."
"DDS-R026","Document/workmail expense accrual","dds_pnl_bridge.md","Marketing, site/app and service expenses recognized in P&L by documented service period; targeted ads use WorkMail smmbux@yandex.ru with Bilinsky UPDs from the Documents for IP Shokina email: subscription/service UPD plus ad budget UPD; bank payment is cash settlement. Automation subscriptions use accrual schedules; Greevy semiannual payment is split by 6.","T-Bank; WorkMail","Таргетированная реклама; Контекстная реклама; SEO-оптимизация; Сайт и приложение; Прочие маркетинговые услуги; automation","cashflow/P&L/balance","high","подтверждено владельцем для источника","Для документов без явного периода брать период из УПД/счета/акта; для ИП Билинский письмо Отправка отчета не является первичным источником ОПиУ; если периода нет — owner review."
"DDS-R027","Rent accrual despite no payment","dds_pnl_bridge.md","Contract rent/warehouse expense belongs to service period; no bank payment creates payable, not zero expense.","T-Bank; cash wallets","Аренда торговых точек; Аренда склада; коммунальные","cashflow/P&L/balance","high","подтверждено документами","Подтверждаем ли фиксированные договорные суммы как accrual без банковской оплаты?"
"DDS-R028","Fixed asset capitalization","dds_pnl_bridge.md","Покупка ОС creates fixed asset after document and owner review; not P&L expense.","all payment accounts","Покупка ОС","cashflow/balance","high","подтверждено документами","Какой порог ОС и метод амортизации принять?"
"DDS-R029","Depreciation from FA register","dds_pnl_bridge.md","P&L Амортизация is generated by FA register schedule, not by bank payment.","not_applicable","Амортизация","P&L/balance","medium","подтверждено документами","Нужен актуальный реестр ОС и дата ввода."
"DDS-R030","No-source is not zero","dds_pnl_bridge.md; payment_workflow_spec.md","If source is absent/not loaded, set quality status instead of 0: no_document, no_bank_payment, source_not_loaded, not_applicable, confirmed_zero, legacy_not_active, owner_review.","all accounts","all articles","cashflow/P&L/balance","critical","подтверждено документами","Какие статьи можно считать confirmed_zero без owner approval?"
"DDS-R031","Counterparty owner status","counterparty_payment_map.md","Only owner-confirmed counterparties can auto-close high-confidence rules; new or multi-role counterparties go owner_review.","T-Bank; Sber","all counterparty-driven articles","cashflow/P&L/balance","high","частично подтверждено","Подтвердить Кварц/Кола, Спецавто Юг/Охрана и remaining review groups."
"DDS-R032","Privacy export control","06-data-sources.md; agent handoffs","Processed exports must not include full accounts, cards, FIO, full payment purposes, tokens or personal payroll rows.","all accounts","all articles","access/privacy","critical","подтверждено документами","Нет."
"DDS-R033","Source freshness control","bank_reconciliation_controls.md","Show last successful Sber/T-Bank run, period covered, operation count delta and errors.","Sber; T-Bank","all bank-derived articles","data_quality","high","подтверждено документами","Какая задержка импорта допустима для платежного календаря?"
"DDS-R034","Rule drift control","bank_reconciliation_controls.md","New bank categories, new counterparties, new acquiring signatures or material amount deviations open review case.","Sber; T-Bank","all bank-derived articles","data_quality","high","подтверждено документами","Кто владелец регулярного review новых правил?"
"DDS-R035","Payment approval document gate","payment_workflow_spec.md","If article/payment role requires document, payment cannot move to ready_for_approval without source_document or explicit exception.","all payment accounts","document-required articles","workflow/cashflow/P&L","high","подтверждено документами","Какие статьи обязательны к ЭДО/документу?"
"DDS-R036","Posting type by article and document","dds_pnl_bridge.md","Every classified transaction creates or links posting type: P&L, asset, liability, equity, internal transfer or suspense.","all accounts","all articles","P&L/balance/cashflow","high","подтверждено документами","Нет, после утверждения article map."
"DDS-R037","Owner review materiality","bank_reconciliation_controls.md","Always review other_inflow, other_outflow, loan_payment, tax_payment, payroll_payment; review supplier/card groups above 10000 RUB or recurring.","all accounts","review-prone articles","data_quality/workflow","medium","подтверждено документами","Утвердить порог существенности 10000 RUB или задать другой."
"DDS-R038","Payment calendar fact source","payment_calendar_architecture.md","Calendar fact reads from cashflow_transactions, not IMPORTRANGE; broken imports cannot silently become zero.","all wallets","all calendar articles","cashflow","critical","подтверждено формулами/документами","Нет."
"DDS-R039","Historic/legacy contours","gs_finance_report.md; dds_sheet_quality_risks.md","2023 DDS and legacy Гагарина/Siti data are structure references, not active 2026 facts unless owner confirms period relevance.","legacy wallets","legacy articles and counterparties","cashflow/P&L/balance","medium","подтверждено документами","Есть ли хвостовые операции по Гагарина или legacy поставщикам в 2026?"
"DDS-R040","Period closing checklist","dds_sheet_quality_risks.md; bank_reconciliation_controls.md","Close month only after imports complete, wallet balances reconcile, internal transfers match, unclassified zero, owner review material items resolved, and P&L/balance bridges have statuses.","all accounts","all articles","cashflow/P&L/balance","critical","подтверждено документами","Кто утверждает закрытие периода в MVP?"
