line_name,block,location_file,location_sheet,location_range,formula_or_rule,source_type,method,current_status,owner_questions,owner_answer,final_rule
Выручка без учета скидок Гагарина,выручка,2026 ОПиУ • [ИП Шокина],Статьи / Факт / месячные листы,Статьи!A2:O2; Факт!A5:M5,"Историческая строка точки Гагарина; точка не работает с 2024, поэтому строка не рассчитывается как активная операционная выручка 2026",исторический контур / iiko,"не запрашивать активный расчет за 2026; если в источниках после 2024 есть суммы Гагарина, выносить на проверку как исторический хвост или ошибку классификации",не используется; точка не работает с 2024,,Владелец 2026-05-19: Гагарина не работает с 2024.,"Строка остается в справочнике как историческая. Для P&L 2026 не считать по ней активную выручку; пустые ячейки не превращать в 0. Если обнаружены суммы по Гагарина после 2024, статус периода = требует проверки / исторический хвост."
Выручка с учетом скидок Гагарина,выручка,2026 ОПиУ • [ИП Шокина],Статьи / Факт / месячные листы,Статьи!A3:O3; Факт!A6:M6,"Историческая строка точки Гагарина; точка не работает с 2024, поэтому строка не рассчитывается как активная операционная выручка 2026",исторический контур / iiko,"не запрашивать активный расчет за 2026; если в источниках после 2024 есть суммы Гагарина, выносить на проверку как исторический хвост или ошибку классификации",не используется; точка не работает с 2024,,Владелец 2026-05-19: Гагарина не работает с 2024.,"Строка остается в справочнике как историческая. Для P&L 2026 не считать по ней активную выручку с учетом скидок; пустые ячейки не превращать в 0. Если обнаружены суммы по Гагарина после 2024, статус периода = требует проверки / исторический хвост."
Выручка без учета скидок Черникова,выручка,2026 ОПиУ • [ИП Шокина],Статьи / Факт / 1,Статьи!A4:O4; Факт!A7:M7; 1!B5:M5,"Факт!B7 = INDIRECT/MATCH к 1!M5; 1!M5 = SUM(C5:L5); 1!C5 = 151430+2523724, 1!D5 = 1374065, 1!E5 = 564253, 1!F5 = 75581",iiko OLAP Отчет о выручке по направлениям; ручной перенос в месячный лист,"сумма направлений Роллы, Пицца, ГЦ, Бар из OLAP; ГЦ в ОПиУ = Шаурма в OLAP; Роллы = Суши + Специи, роллы Черникова",актуально; ручной перенос,Подтвердить год: это январь-февраль 2026 несмотря на Факт!A2 = 2025 год.,"Владелец: есть OLAP-отчет Отчет о выручке по направлениям. В нем есть сумма без скидки, сумма со скидкой, сумма скидки и себестоимость для бара, пиццы, суши и шаурмы. C5/C6/C15 и те же строки в D/E/F собираются из этого отчета; C = Роллы = Суши + Специи, роллы Черникова; ГЦ в ОПиУ = Шаурма в OLAP. Сверено по локальным raw iiko: CookingPlace = Специи, роллы Черникова; DishGroup.TopParent = Специи.","Строка считается из iiko OLAP Отчет о выручке по направлениям, показатель сумма без скидки. Факт тянет итог из месячного листа. В месячном листе C:F берутся из OLAP: Роллы = Суши + Специи, роллы Черникова; Пицца = Пицца; ГЦ = Шаурма; Бар = Бар. Если месячный лист не заполнен или отсутствует, статус периода = нет данных, не 0."
Выручка с учетом скидок Черникова,выручка,2026 ОПиУ • [ИП Шокина],Статьи / Факт / месячные листы,Статьи!A5:O5; Факт!A8:M8,Факт тянет итог из месячного листа через INDIRECT/MATCH; по ответу владельца строка 6 в C:F заполняется из OLAP Отчет о выручке по направлениям,iiko OLAP Отчет о выручке по направлениям; ручной перенос,"сумма направлений Роллы, Пицца, ГЦ, Бар из OLAP; ГЦ в ОПиУ = Шаурма в OLAP; Роллы = Суши + Специи, роллы Черникова; показатель сумма со скидкой",актуально; требует отдельного прохода по ячейкам,,"Владелец: C6/D6/E6/F6 заполняются из OLAP Отчет о выручке по направлениям; Роллы = Суши + Специи, роллы Черникова; ГЦ в ОПиУ = Шаурма в OLAP. Сверено по локальным raw iiko: CookingPlace = Специи, роллы Черникова; DishGroup.TopParent = Специи.",
Комиссия партнерам (с -),выручка,2026 ОПиУ • [ИП Шокина],Статьи / Факт / месячные листы,Статьи!A6:O6; Факт!A9:M9,Факт тянет итог из месячного листа через INDIRECT/MATCH; месячный лист должен содержать комиссию как 20% от суммы со скидкой из iiko OLAP Отчет о партнерах,iiko OLAP Отчет о партнерах; ручной перенос в месячный лист,"выбрать период; клиент-партнер В гостях у Алисы, телефон +7 989 703 5111; взять сумму со скидкой; комиссия = сумма со скидкой * 20%; учитывается в ОПиУ с минусом",актуально; ручной перенос; март 2026 требует проверки,Проверить март 2026: 0 по Комиссия партнерам - реальный ноль или пропуск в Отчете о партнерах.,"Владелец: источник - iiko OLAP Отчет о партнерах. Это отчет о клиентах, где оставлен клиент-партнер В гостях у Алисы; телефон +7 989 703 5111. Используется сумма со скидкой; сумма без скидки не нужна. Комиссия = 20% от суммы со скидкой за выбранный период.","Строка считается как 20% от суммы со скидкой по клиенту-партнеру В гостях у Алисы из iiko OLAP Отчет о партнерах за выбранный период. В ОПиУ относится к блоку Выручка и учитывается с минусом, уменьшая управленческую выручку. Если месячный лист не заполнен или отчет за период не проверен, статус периода = требует проверки, не автоматический 0."
Возвраты клиентам (с минусом),выручка,2026 ОПиУ • [ИП Шокина],Статьи / Факт / месячные листы,Статьи!A7:O7; Факт!A10:M10,Факт тянет итог из месячного листа через INDIRECT/MATCH; месячный лист должен содержать сумму по соответствующей статье ДДС классический за месяц,ДДС классический,"источник - Google Sheets 2026 ДДС — Классический • ИП Шокина, https://docs.google.com/spreadsheets/d/1ZkyXPcotiyEeJ-NJxDxf-u2UP9tJFh27HAA_ZjpCYco/edit; брать статью ДДС по возвратам клиентам за месяц; строка в ОПиУ учитывается с минусом",актуально как источник; ручной перенос; требует проверки знака/периода,,"Владелец: для статей ОПиУ с источником ДДС классический использовать документ 2026 ДДС — Классический • ИП Шокина. Если в ДДС есть одноименная/соответствующая статья, брать данные из нее. Содержание торговых точек и Телекоммуникации этим правилом не закрывать.","Строка берет данные из 2026 ДДС — Классический • ИП Шокина по статье возвратов клиентам за соответствующий месяц; в ОПиУ строка уменьшает выручку. Если месяц или статья ДДС не найдены, статус периода = требует проверки / источник не найден, не 0."
Расход продуктов (фудкост) Черникова,food cost,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы,Статьи!A8:O8,Требует отдельного прохода; по ответу владельца строка 15 в C:F заполняется из OLAP Отчет о выручке по направлениям,iiko OLAP Отчет о выручке по направлениям; ручной перенос,"себестоимость по направлениям из OLAP; ГЦ в ОПиУ = Шаурма в OLAP; Роллы = Суши + Специи, роллы Черникова",актуально; требует отдельного прохода по ячейкам,,"Владелец: C15/D15/E15/F15 заполняются из OLAP Отчет о выручке по направлениям; Роллы = Суши + Специи, роллы Черникова; ГЦ в ОПиУ = Шаурма в OLAP. Сверено по локальным raw iiko: CookingPlace = Специи, роллы Черникова; DishGroup.TopParent = Специи.",
Расход продуктов (фудкост) Гагарина,food cost,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы,Статьи!A9:O9,"Историческая строка точки Гагарина; точка не работает с 2024, поэтому строка не рассчитывается как активный food cost 2026",исторический контур / iiko OLAP отчет Выручка по направлениям,"не запрашивать активный расчет за 2026; если в источниках после 2024 есть суммы Гагарина, выносить на проверку как исторический хвост или ошибку классификации",не используется; точка не работает с 2024,,Владелец 2026-05-19: Гагарина не работает с 2024.,"Строка остается в справочнике как историческая. Для P&L 2026 не считать по ней активный food cost; пустые ячейки не превращать в 0. Если обнаружены суммы по Гагарина после 2024, статус периода = требует проверки / исторический хвост."
Зарплата поваров (оклады и удержания),ФОТ,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / Из Отчетов,Статьи!A10:O10; месячный лист строка 24; Из Отчетов!A1:O20; Зарплатная ведомость Свод!A7:O9,"Месячный лист берет значения через LOOKUP по номеру месяца B1 из Из Отчетов: Роллы=C7:N7, Пицца=C8:N8, Горячий цех=C9:N9; Из Отчетов импортируется из Зарплатная ведомость -> Свод",Google Sheets Расчет зарплат NEW / Свод role-only export,"Для MVP P&L использовать итог ФОТ по ролям из Расчет зарплат NEW, лист Свод, диапазон C7:C13 и соседние месячные колонки. Не смешивать role-cut и type-cut в одной строке; type-cut оставлять drill-down внутри payroll.",requires_recalc в текущем pnl_2026: legacy/control payroll_monthly содержит смешанный role/type контур,,Владелец 2026-05-19: ФОТ автоматически попадает в ОПиУ из таблицы Зарплатная ведомость через IMPORTRANGE; на листе Из Отчетов есть информация об источниках. Владелец 2026-05-25: для MVP нужен итог ФОТ по ролям из Расчет зарплат NEW Свод!C7:C13; cross-tab роль x тип начисления не обязателен.,"P&L MVP берет additive role-only ФОТ из Расчет зарплат NEW Свод!C7:C13 и соседних месячных колонок. Не суммировать одновременно role-cut и type-cut, чтобы не получить двойной счет."
Результаты инвентаризации коробки д/пиццы,инвентаризация / прямые постоянные,2026 ОПиУ • [ИП Шокина],Статьи / месячные листы / iiko,"Статьи!A11:J11; месячный лист: строка Результаты инвентаризации коробки д/пиццы, направление Пицца","Месячный лист должен содержать сумму подписанных значений Разница сумма, р по четырем коробкам для пиццы из документа инвентаризации упаковки",iiko Товары и склады -> Документы инвентаризации; GET /resto/api/reports/storeOperations с documentTypes=INCOMING_INVENTORY и productDetalization=true; ручной перенос,"найти инвентаризацию упаковки по первым числам месяца; через API читать /reports/storeOperations с documentTypes=INCOMING_INVENTORY и productDetalization=true; внутри документа взять товары коробка 30 на 30 бренд, коробка 40 на 40 бренд, коробка для пиццы 30 на 30, коробка для пиццы 40 на 40; сложить Разница сумма, р с сохранением знака",актуально; ручной перенос,,"Владелец: источник - iiko Товары и склады -> Документы инвентаризации. Инвентаризация упаковки проходит по первым числам месяца; если даты совпадают с продуктовой инвентаризацией, ориентироваться по контексту документа и товарам внутри. Для строки нужны четыре товара коробок для пиццы; используется колонка Разница сумма, р; значения складываются. Технический источник чтения: GET /resto/api/reports/storeOperations, documentTypes=INCOMING_INVENTORY, productDetalization=true.","Строка считается как сумма подписанных значений Разница сумма, р по товарам коробка 30 на 30 бренд, коробка 40 на 40 бренд, коробка для пиццы 30 на 30, коробка для пиццы 40 на 40 из документа инвентаризации упаковки в iiko. API-чтение: /reports/storeOperations с documentTypes=INCOMING_INVENTORY и productDetalization=true. В ОПиУ относится к Прямым постоянным и направлению Пицца. Если документ или товарные строки не найдены, статус периода = требует проверки / источник не найден, не автоматический 0."
