rule_id,bank,direction,source_fields,match_type,pattern,flow_type,dds_article_candidate,pnl_line_candidate,requires_owner_review,priority,notes
REV_ACQUIRING_SBER,sber,credit,"description; paymentPurpose; payPurpose; category; counterparty",contains,эквайринг,revenue_acquiring_sber,,,yes,10,"Основной канал выручки: эквайринг и интернет-эквайринг на стороне Sber. Подтверждать по контрагенту и сверке с iiko."
REV_ACQUIRING_TBANK,tbank,credit,"description; paymentPurpose; payPurpose; category; counterparty; payer.bankName; payer.bicRu",bank_not_sber_and_acquiring_signature,tbank_direct_acquiring,revenue_acquiring_tbank,,,yes,10,"Небольшая, но ненулевая доля выручки: собственный эквайринг T-Bank. Признак — банк-отправитель не Sber, есть эквайринговые поля (acquirerId/mcc/merch/rrn/authCode). Отделить от REV_ACQUIRING_ANY, чтобы не схлопнуть с эквайрингом Sber, и от INTERNAL_TRANSFER_SBER_TO_TBANK, чтобы не задвоить с переводом из Сбера."
REV_CONTRACT_TRANSFER_ANY,any,credit,"description; paymentPurpose; payPurpose",contains,перевод средств по договору,revenue_candidate,,,yes,20,Кандидат на выручку по договору; требуется список допустимых формулировок
INTERNAL_TRANSFER_OWN_ACCOUNTS,any,both,"payer.account; receiver.account; accountNumber; own_accounts_registry",account_match,own_account,internal_transfer,,,yes,5,Требует реестр собственных счетов; возможно понадобится endpoint списка счетов
INTERNAL_TRANSFER_SBER_TO_TBANK,tbank,credit,"payer.bankName; payer.bicRu; payer.inn; payer.name",bank_is_sber_and_payer_is_own,sber_to_tbank_self_transfer,internal_transfer,,,yes,2,"Главный паттерн контура: выручка приходит на Sber и регулярно переводится на свой счёт в T-Bank. В T-API эти кредитовые операции от ПАО Сбербанк со счёта ИП — внутренние переводы, не выручка. Исключать из выручки, чтобы не задвоить со Sber. Применять ПОСЛЕ REV_ACQUIRING_TBANK, чтобы не съесть прямой эквайринг T-Bank, у которого банк-отправитель не Sber, но контрагент технически может выглядеть как банк."
INTERNAL_TRANSFER_TBANK_FROM_SBER_DEBIT,sber,debit,"receiver.bankName; receiver.bicRu; receiver.inn; receiver.name",bank_is_tbank_and_receiver_is_own,sber_to_tbank_self_transfer,internal_transfer,,,yes,1,"Зеркало правила INTERNAL_TRANSFER_SBER_TO_TBANK на стороне Sber: списания со Sber на собственный счёт в T-Bank — внутренний перевод, не расход поставщику."
LOAN_OR_OVERDRAFT_ANY,any,both,"description; paymentPurpose; payPurpose; category; operationCode",contains,кредит|овердрафт,financing,,,yes,30,Не выручка и не операционный расход без отдельной классификации
REFUND_ANY,any,both,"description; paymentPurpose; payPurpose; category",contains,возврат,refund,,,yes,30,Отделить возвраты клиентам от возвратов поставщиков/банка
TAX_ANY,any,debit,"description; paymentPurpose; payPurpose; category",contains,налог|взнос|ндфл,tax,,,yes,40,Разделить налоги с ФОТ, прочие налоги и пени на следующем этапе
BANK_FEE_ANY,any,debit,"description; paymentPurpose; payPurpose; category",contains,комиссия|рко,bank_fee,,,yes,50,Разнести эквайринг, РКО, прочие банковские комиссии
SUPPLIER_PAYMENT_ANY,any,debit,"description; paymentPurpose; payPurpose; counterparty",owner_map,manual_counterparty_map,supplier_payment,,,yes,60,Разметка поставщиков по приватному справочнику контрагентов
