month,pnl_line,dds_article_source,value,source_type,status,notes
2026-02,Аренда торговой точки Черникова,fixed_contract: договор аренды Черникова,100000.00,fixed_contract,final,"Константа по методологии: 100000 руб. в месяц, не из банка."
2026-02,Аренда склада,fixed_contract: договор склада,5000.00,fixed_contract,final,"Константа по методологии: 5000 руб. в месяц, не из банка."
2026-02,Коммунальные платежи Черникова,платежки арендодателя / банк для сверки,,mixed,partial,"Нужны платежки арендодателя по воде, газу и электричеству. В classified есть смешанные переводы с упоминанием воды/электричества, но без надежной разбивки они не включены."
2026-02,Зарплата администраторов,"Зарплатная ведомость -> Свод, строка 10",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-02,Премии,"Зарплатная ведомость -> Свод, строка 12",,gs_payroll_pending,pending,По заданию не читаем Google Sheets и ФОТ-источник; строка оставлена как pending.
2026-02,Списание продукции и сырья,iiko: списания продукции и сырья,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-02,Результаты ревизии,iiko / листы ревизии,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-02,Траты на курьерскую службу,iiko P&L preset: курьерская служба,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
2026-02,Комиссия за эквайринг,dds_by_article_2026: tbank / Эквайринг,4631.20,bank_tbank_classified,final,Первичный агрегат dds_by_article_2026.csv; flow_type=bank_fee; operations=14.
2026-02,Транспортные услуги,dds_by_article_2026: Транспортные услуги,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-02,Расходы на питание персонала,dds_by_article_2026: Расходы на питание персонала,0.00,mixed,final,В первичном агрегате и classified CSV за месяц нет строк по этой статье; значение закрыто как 0 для банковского контура.
2026-02,Оплата систем автоматизации,"classified: Оплаты систем автоматизации, excluding Наумченко correction",100471.00,bank_tbank_classified,final,Сумма из T-Bank classified; платеж ИП Наумченко 9000 руб. перенесен в Услуги ФД и НК по справочнику контрагентов.
2026-02,Содержание торговых точек,mixed: ДДС статья Содержание торговых точек + iiko накладные,0.00,mixed,partial,Учтен только ДДС-компонент из локального агрегата. iiko-компонент расходников по накладным не собран в рамках задания.
2026-02,Вспомогательные товары,iiko: приходные накладные / вспомогательные товары,,iiko_pending,out_of_scope,Без iiko по текущему заданию; строка отмечена как out_of_scope для этого агрегатора.
