metric,2026-02,2026-03,2026-04,2026-05,total_4mo,notes
Выручка с учётом скидок (gross revenue),3833597.82,4006534.78,3326144.31,2277008.90,13443285.81,"Источник B1 revenue_by_direction; 2026-02: final 100.0%, partial 0.0%, pending 0.0%; 2026-03: final 100.0%, partial 0.0%, pending 0.0%; 2026-04: final 100.0%, partial 0.0%, pending 0.0%; 2026-05: final 0.0%, partial 100.0%, pending 0.0%"
− Комиссия партнёрам,45676.00,50478.00,44926.60,31157.00,172237.60,"Канонический iiko OLAP saved preset Отчет о партнерах; комиссия = сумма со скидкой * 20%; 2026-02: final 100.0%, partial 0.0%, pending 0.0%; 2026-03: final 100.0%, partial 0.0%, pending 0.0%; 2026-04: final 100.0%, partial 0.0%, pending 0.0%; 2026-05: final 0.0%, partial 100.0%, pending 0.0%"
− Возвраты клиентам,0.00,2316.91,0.00,619.98,2936.89,"DDS aggregate by article, abs(net_total); 2026-02: final 100.0%, partial 0.0%, pending 0.0%; 2026-03: final 100.0%, partial 0.0%, pending 0.0%; 2026-04: final 100.0%, partial 0.0%, pending 0.0%; 2026-05: final 0.0%, partial 100.0%, pending 0.0%"
= Чистая выручка,3787921.82,3953739.87,3281217.71,2245231.92,13268111.32,Расчёт: выручка с учётом скидок − партнёры − возвраты.
− Food cost,1208634.78,1227017.12,1033962.20,716116.32,4185730.42,"Источник B1 revenue_by_direction food_cost; 2026-02: final 100.0%, partial 0.0%, pending 0.0%; 2026-03: final 100.0%, partial 0.0%, pending 0.0%; 2026-04: final 100.0%, partial 0.0%, pending 0.0%; 2026-05: final 0.0%, partial 100.0%, pending 0.0%"
= Валовая маржа,2579287.04,2726722.75,2247255.51,1529115.60,9082380.90,Расчёт: чистая выручка − food cost.
− ФОТ,1066967.00,1100983.00,970782.00,497018.00,3635750.00,"Legacy/control из payroll_monthly: значения оставлены для непрерывности, но статус P&L requires_recalc. MVP 2026-05-25 требует role-only export из Расчет зарплат NEW Свод!C7:C13 без смешения role-cut и type-cut."
− Курьеры,268593.00,280132.00,248401.00,143108.00,940234.00,"D01 iiko P&L preset Зарплата курьеров; апрель corrected to 248401; 2026-02: final 100.0%, partial 0.0%, pending 0.0%; 2026-03: final 100.0%, partial 0.0%, pending 0.0%; 2026-04: final 100.0%, partial 0.0%, pending 0.0%; 2026-05: final 0.0%, partial 100.0%, pending 0.0%"
− Общепроизводственные прочие,385224.35,288511.55,231169.24,121437.80,1026342.94,"Состав: аренда, эквайринг, транспорт, питание, автоматизация, содержание ТТ, склад, упаковка, вспомогательные, payroll taxes, списания, ревизии, коробки. Апрельская УСН/cash-сумма исключена из Налоги с ЗП; чистая сумма payroll taxes за 2026-04 source_not_loaded/pending_parse."
− Административные,44055.01,44580.02,40957.52,33549.00,163141.55,"Зарплата администрации уже в ФОТ; здесь коммунальные, РКО, банк, ФД/НК, персонал, телеком, найм. Mango manual_confirmed включен за 2026-02..2026-04; коммунальные Черникова source_not_loaded из Telegram/OCR storage."
− Коммерческие,0.00,0.00,41984.77,0.00,41984.77,Коммерческие строки из monthly/summary: апрельская Контекстная реклама Biz Panel 41984.77 включена; Таргетированная реклама source_not_loaded до парсинга уже подтвержденных УПД из WorkMail smmbux@yandex.ru; остальные marketing/document строки source_not_loaded.
= EBITDA,814447.68,1012516.18,713960.98,734002.80,3274927.64,"Расчёт с доступными строками: Mango manual включен за 2026-02..2026-04; cash-выплаты УСН и tax payable не сидят в EBITDA; апрельская Контекстная реклама включена; коммунальные, ФОТ role-only rebuild, target ads и часть below-EBITDA остаются незакрытыми."
"− Налоги, проценты, амортизация, штрафы",324219.75,347597.10,282189.57,208195.54,1162201.96,Ниже EBITDA: Налоги = 7% accrual/model от iiko OLAP выручки без скидок за 2026-02..2026-05 MTD; это не cash-выплата. Cash 659 783 = только УСН 6%; tax payable/1% отдельно по WorkMail askad02. Комиссия за овердрафт cash/control; проценты/амортизация не закрыты.
+ Доходы ниже EBITDA,1100.92,10000.00,9650.00,1300.00,22050.92,Прочие доходы из iiko P&L preset shown as requires_owner_review; списание депозитов pending.
= Чистая прибыль / убыток,491328.85,674919.08,441421.41,527107.26,2134776.60,"Partial: рассчитано с доступными below-EBITDA строками; включает только 7% accrual/model Налоги от iiko OLAP выручки без скидок, включая 2026-05 MTD, и апрельскую Контекстную рекламу, но не включает незагруженные коммунальные, target ads, амортизацию/проценты, tax payable payment match и чистые payroll taxes за апрель."
