area,risk,action
scope,Гагарина после января 2024 не входит в текущий контур; любые строки вне Черниковой исключены из основных выводов.,Сохранять фильтр active_chernikova и анализировать Гагарина только как историю.
food_cost,Food cost рассчитан как ProductCostBase.ProductCost / DishDiscountSumInt; API-поле ProductCostBase.Percent не додумывалось при агрегации.,Сверить методику с ОПиУ и техкартами в Google Sheets.
writeoffs,"Суммы из документов/складских отчетов попали в `sum_candidate`, если структура поля неоднозначна.",Сверить поле суммы в сыром ответе и закрепить точную схему парсинга.
payroll,"`/employees/salary` содержит настройки, а не факт выплат; ФОТ нельзя считать только по этому endpoint.",Сверить часы iiko с Google Sheets `Расчет зарплат NEW` и фактом выплат.
couriers,`/reports/delivery/couriers` возвращает строки AVERAGE/MAXIMUM/TARGET; их нельзя суммировать как один факт доставок.,Сверить трактовку `orderCount` и выплаты с Google Sheets `График курьеров`.
store_operations_empty,"`/reports/storeOperations` ответил без ошибки, но не дал распарсенных строк.",Уточнить presetId/stores/documentTypes или использовать документы writeoff как основной складской источник.
product_expense_unstable,`/reports/productExpense` не отдал данные в месячных запросах и ушел в таймаут.,Пробовать меньший период/точный department или сверять расход сырья через OLAP food cost и складские документы.
attendance_empty,`/employees/attendance` не дал распарсенных явок.,"Проверить, ведутся ли явки в iiko или основной учет идет в Google Sheets."
salary_empty,`/employees/salary` не дал распарсенных настроек зарплаты.,Уточнить доступ/формат endpoint и сверить правила мотивации с таблицами.
endpoint_params,Часть складских/кадровых endpoint'ов требует уточнения параметров или схемы ответа.,Смотреть `endpoint_status.csv` и закрепить рабочие параметры по каждому endpoint.
