dds_article,article_group,direction,default_counterparty_role,pnl_line_candidate,balance_relation,source_today,automation_source,requires_document,requires_owner_review,quality_status,comment
"Поступление денег с торг. точек","sales_cash_receipts","inflow","розничные покупатели / банк-эквайер","Выручка с учетом скидок / cash reconciliation","cash receipt; revenue settlement","T-Bank match 2026-01..03","Bank API + iiko sales reconciliation","no","no","matched_bank_dds","Поступления не равны выручке периода; сверять с iiko, типами оплат и эквайринговыми лагами."
"Поступление — Перевод между счетами","internal_transfers","internal_inflow","собственник / банк / депозитный счет","не P&L","cash transfer; internal account movement","T-Bank match 2026-01..03","Bank API + transfer rules","no","yes","matched_needs_review","Внутренний перевод; не доход и не выручка."
"Выбытие — Перевод между счетами","internal_transfers","internal_outflow","собственник / банк / зарплатный канал","не P&L","cash transfer; internal account movement","T-Bank match 2026-01..03","Bank API + transfer rules","no","yes","matched_needs_review","Не расход P&L без отдельного основания; часть строк похожа на payroll/owner cash channel."
"Возврат переплаты от поставщиков","supplier_settlements","inflow","поставщик","корректировка закупок / прочие доходы после review","AP/debit memo","T-Bank match 2026-01..03","Bank API + supplier reconciliation","yes","yes","matched_needs_review","Не признавать выручкой; связать с исходной закупкой или актом сверки."
"Возвраты клиентам","sales_adjustments","outflow","клиент / платежный партнер","Возвраты клиентам (с минусом)","customer payable / revenue reduction","Google Sheets DDS/OPiU 2023","Bank/acquiring + iiko refunds","yes","yes","known_structure","Отдельно от скидок, комиссий партнеров и возвратов по бизнес-карте."
"Оплата поставщикам","suppliers_food_packaging","outflow","поставщик продуктов, сырья, упаковки","не прямой food cost; сверка к Расход продуктов","inventory/AP clearing","Google Sheets DDS 2023; T-Bank match 2026-01..03","Bank API + supplier dictionary + iiko invoices","yes","some","matched_bank_dds","Оплата поставщику не равна food cost периода; для P&L первичны iiko OLAP и накладные."
"Расход продуктов (фудкост) Черникова","pnl_food_cost","non_cash_pnl","iiko / складской контур","Расход продуктов (фудкост) Черникова","inventory consumption","Google Sheets OPiU 2023; P&L methodology","iiko OLAP Отчет о выручке по направлениям","no","no","pnl_source_not_dds","Это P&L-строка, не банковская статья ДДС."
"Расход продуктов (фудкост) Гагарина","pnl_food_cost_historic","non_cash_pnl","iiko / историческая точка","не используется в активной модели 2026","inventory consumption","Google Sheets OPiU 2023; P&L methodology","iiko OLAP only if owner confirms historic period","no","yes","historic_not_active","Гагарина не работает с 2024; не считать нулем без проверки хвостов."
"Зарплата производственного персонала","payroll_cash","outflow","сотрудники агрегировано","Зарплата поваров (оклады и удержания)","payroll liability settlement","Google Sheets DDS 2023; T-Bank match 2026-01..03","Payroll payments ledger + Bank API","yes","yes","matched_needs_payroll_bridge","Денежная выплата не равна начисленному ФОТ периода."
"Зарплата административного персонала","payroll_cash","outflow","сотрудники агрегировано","Зарплата администрации / администраторов","payroll liability settlement","Google Sheets DDS 2023; T-Bank match 2026-01..03","Payroll payments ledger + Bank API","yes","yes","matched_needs_payroll_bridge","Использовать только как cash-flow и сверку с payroll начислениями."
"Расходы на персонал","payroll_related_cash","outflow","сотрудники / HR / персональные расходы","Расходы на персонал","payroll/HR expense or employee receivable","Google Sheets OPiU 2023; fixed_costs_2026; T-Bank match","Bank API + owner rules","yes","yes","needs_owner_review","Смешанная статья: возможны выплаты, HR-расходы и покупки бизнес-картой."
"Выплата ЗП","payroll_cash","outflow","сотрудник","не P&L напрямую; закрывает payroll payable","payroll liability settlement","Payroll module spec","Payroll payments ledger + Bank API","yes","no","target_article","Тип выплаты в payroll; в ДДС хранить агрегировано без персональных строк."
"Выплата аванса","payroll_cash","outflow","сотрудник","не P&L напрямую; закрывает payroll payable","payroll advance / liability settlement","Payroll module spec","Payroll payments ledger + Bank API","yes","no","target_article","Аванс должен сверяться с персональным балансом payroll, но не публиковать строки сотрудников."
"Выплата накоплений","payroll_cash","outflow","сотрудник","не P&L напрямую","accumulation fund liability settlement","Payroll module spec","Payroll fund account + Bank API","yes","no","target_article","Обычная cash-выплата; уменьшает счет накопительного фонда."
"Накопительный фонд","payroll_accrual","non_cash_pnl","payroll ledger","Накопительный фонд","payroll/accumulation fund liability","P&L methodology; Payroll module spec; fixed_costs_2026","Payroll accrual ledger","yes","yes","pending_accrual_policy","Начисление фонда не равно выплате; выплата строго 15 января."
"Депозит удержание","payroll_deposit","non_cash_or_cash_offset","сотрудник","не P&L напрямую","deposit liability / employee deposit account","Payroll module spec","Payroll deposit ledger","yes","no","target_article","Уменьшает сумму к выплате и увеличивает депозитный счет; не банковский расход сам по себе."
"Депозит возврат","payroll_deposit","outflow_if_paid","сотрудник","не P&L напрямую","deposit liability settlement","Payroll module spec","Payroll deposit ledger + Bank API","yes","no","target_article","Если деньги реально выданы, это cash-flow; в персональном отчете отображается."
